	Metabolism	MODULE	NAME	PWY_ID
0	Central carbohydrate metabolism	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	00010
1	Central carbohydrate metabolism	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	01200
2	Central carbohydrate metabolism	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	01100
3	Central carbohydrate metabolism	M00002	Glycolysis, core module involving three-carbon compounds	00010
4	Central carbohydrate metabolism	M00002	Glycolysis, core module involving three-carbon compounds	01200
5	Central carbohydrate metabolism	M00002	Glycolysis, core module involving three-carbon compounds	01230
6	Central carbohydrate metabolism	M00002	Glycolysis, core module involving three-carbon compounds	01100
7	Central carbohydrate metabolism	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	00010
8	Central carbohydrate metabolism	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	00020
9	Central carbohydrate metabolism	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	01100
10	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	00010
11	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	00020
12	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	00620
13	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	00785
14	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	01200
15	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	01210
16	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	01100
17	Central carbohydrate metabolism	M00009	Citrate cycle (TCA cycle, Krebs cycle)	00020
18	Central carbohydrate metabolism	M00009	Citrate cycle (TCA cycle, Krebs cycle)	01200
19	Central carbohydrate metabolism	M00009	Citrate cycle (TCA cycle, Krebs cycle)	01100
20	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	00020
21	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	01200
22	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	01210
23	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	01230
24	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	01100
25	Central carbohydrate metabolism	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	00020
26	Central carbohydrate metabolism	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	01200
27	Central carbohydrate metabolism	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	01210
28	Central carbohydrate metabolism	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	01100
29	Central carbohydrate metabolism	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	00030
30	Central carbohydrate metabolism	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	01200
31	Central carbohydrate metabolism	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	01100
