	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.megahit.24_10_1	0.9349817419465456	2.158907074804126	2.2432320813225406	1.9467200053279878	2.237461117097327	2.1746660963345934	0.711658843494186	0.38746455351821135	1.368691158252256
metabat2.megahit.24_10_10	8.314415323587202	5.1687702228887105	5.370657829735718	4.660760304726861	5.356841214656375	5.206499851078442	3.407651104614501	1.8553047234156714	6.553732845353869
metabat2.megahit.24_10_11	4.904168625135398	2.64224447961102	2.7454482189320646	2.3825528423417164	2.7383852477907586	2.6615316402900993	1.7419709004932336	0.9484206981639813	1.6751145518908208
metabat2.megahit.24_10_12	2.09286176996224	2.255164078139342	2.3432487983241823	2.0335164386865605	2.337220529961539	2.2716257312030144	0.7433888556245	1.0118501079138016	1.429715604798535
metabat2.megahit.24_10_13	113.13719414323333	7.781555170722564	8.085495853558168	21.050247090579525	8.064695015471685	7.838356918656556	41.04160011711539	20.250345236622124	29.599826367477363
metabat2.megahit.24_10_14	2.920704870080639	11.802025342262557	12.26300204456322	10.642069362459667	12.231454106798722	11.888174659962443	3.8904016777682164	8.472558236931556	7.482178331779
metabat2.megahit.24_10_15	1.593111747316712	6.437468368506849	6.688910206125394	5.804765106796182	6.67170224007203	6.48445890543406	4.244074557565333	0.5776744252453333	4.081188180970364
metabat2.megahit.24_10_16	0.6976205899874129	2.255164078139342	2.3432487983241823	2.0335164386865605	2.337220529961539	2.2716257312030144	0.7433888556245	4.856880517986242	2.85943120959707
metabat2.megahit.24_10_17	0.20096593142756652	1.6241319278342967	1.6875690887013608	1.4645049581366514	1.683227629375971	1.6359873385269417	0.5353763776745252	5.10102416787737	1.0296575685934404
metabat2.megahit.24_10_18	25.675335838616864	3.151876204165069	1.0916619030768446	3.789460900579105	1.0888534813173936	1.058294480115351	1.7316327942588479	1.9798633862265878	3.9964157261727595
metabat2.megahit.24_10_19	16.72767334682545	2.5749873474027396	2.6755640824501574	2.3219060427184726	8.006042688086437	2.5937835621736243	0.8488149115130653	2.0796279308832	1.6324752723881455
