	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.megahit.295_100_1	0.37336131560283875	0.37823217963918926	0.3933773191125693	0.47379115924685156	0.47379115924685156	0.552691145955885	0.6244475701797246	0.6244475701797246	0.6244475701797246
vamb.megahit.295_100_2	4.142274086924582	0.4662571232643097	0.48492694974240363	1.1681105671613272	1.1681105671613272	0.681317449014709	0.7697735501488242	0.7697735501488242	0.7697735501488242
vamb.megahit.295_100_3	1.0125558879148986	2.05153134236296	3.2005178682998663	2.56984324775492	1.2849216238774612	1.49889838783236	1.6935018103274133	1.6935018103274133	1.6935018103274133
vamb.megahit.295_100_4	1.2408773136211995	1.2570657735067174	2.614802179983546	9.447953116746046	7.8732942639550325	1.8368852792063233	2.07536986559732	2.07536986559732	2.07536986559732
vamb.megahit.295_100_5	4.364465034115939	1.4738012516975307	7.664075355124195	9.230758792223142	3.6923035168892526	4.307179275380345	2.4331922562175476	2.4331922562175476	2.4331922562175476
vamb.megahit.295_100_6	2.5313897197872466	5.1288283559074	2.66709822358322	6.424608119387299	3.212304059693653	3.7472459695808995	4.233754525818533	4.233754525818533	4.233754525818533
vamb.megahit.295_100_7	2.481754627242399	2.514131547013435	2.614802179983549	3.1493177055820127	3.1493177055820127	3.6737705584126465	4.15073973119464	4.15073973119464	4.15073973119464
vamb.megahit.295_100_8	3.0498671322737914	3.089655636088799	3.213371353714723	7.7404917101051804	3.870245855052594	4.514754180217952	5.100909067251244	5.100909067251244	5.100909067251244
vamb.megahit.295_100_9	0.7274108390193238	4.421403755092586	4.5984452130745215	6.461531154556197	1.8461517584446263	1.0767948188450862	1.2165961281087738	1.2165961281087738	1.2165961281087738
vamb.megahit.295_101_1	0.9340921475229693	1.8925565888957196	1.968338172386138	1.1853520515474736	1.1853520515474736	1.3827475902512545	1.5622710427374662	1.5622710427374662	1.5622710427374662
vamb.megahit.295_101_10	0.8139516783881823	3.29828190090508	1.7151757064843838	2.0657903920859484	2.0657903920859484	2.409804482045595	1.3613358603918113	1.3613358603918113	1.3613358603918113
vamb.megahit.295_101_11	3.8647171294461833	1.9575680747738193	2.035952842429939	2.4521405035829416	7.356421510748829	2.860493106550305	3.2318736838309414	3.2318736838309414	3.2318736838309414
vamb.megahit.295_101_12	4.342006380424094	1.7594608425068268	2.7448695268437966	3.305973303286781	1.1019911010955918	1.2855046207824699	0.7262014624045512	0.7262014624045512	0.7262014624045512
vamb.megahit.295_101_13	6.204386568105996	5.028263094026863	2.614802179983554	1.574658852791005	3.14931770558201	0.9184426396031616	1.03768493279866	2.0753698655973123	2.0753698655973123
vamb.megahit.295_101_14	34.74456478139347	7.542394641040294	2.614802179983549	12.59727082232804	6.29863541116402	3.6737705584126465	4.15073973119464	4.15073973119464	4.15073973119464
vamb.megahit.295_101_15	3.245371435624672	2.191806989704017	2.2795711312677067	1.3727795126895954	1.3727795126895954	1.601387166487564	3.6185936118106983	1.809296805905356	3.6185936118106983
vamb.megahit.295_101_16	0.6174121267773772	0.6254668726716349	0.6505117618495658	2.3504663851416994	0.7834887950472326	0.9139624316050975	1.032623055077691	1.032623055077691	1.032623055077691
vamb.megahit.295_101_17	5.94222938917194	2.4079006365762443	2.5043175808293117	1.5081239716871613	1.5081239716871613	8.796352041269703	1.9876781811354618	1.9876781811354618	1.9876781811354618
vamb.megahit.295_101_18	1.4548216780386476	1.4738012516975307	1.5328150710248392	1.8461517584446283	1.8461517584446283	2.1535896376901724	2.4331922562175476	2.4331922562175476	2.4331922562175476
