	G15	G16	G17	G18	G19	G20	G21	G22	G23
maxbin2.spades.006_10_1	7.383280249365631	2.6843519669197176	3.0618809192537477	6.853247245847402	4.209718851874577	3.674513770185612	10.296190871519924	1.0859674618188306	5.832195677207138
maxbin2.spades.006_10_10	3.1016786490610335	3.007153785726519	3.4300817892905906	7.677371914651836	4.715950865707595	4.116385679258565	2.097152801218671	2.433116971416877	1.6333839159266814
maxbin2.spades.006_10_11	2.3336439359602092	13.575151375565428	15.484369220226096	17.32892517878552	21.289149622337142	18.582541066367234	9.467146931215714	5.491892592626657	7.373561677611876
maxbin2.spades.006_10_12	2.8026606093639703	2.3290700889450493	2.656631974058399	2.9730999081249676	3.652550180302941	3.1881810653081044	0.8121327024327205	4.711182371125817	2.530143712906029
maxbin2.spades.006_10_13	3.0821712361738616	1.7929445213010944	2.0451053687091068	2.288725967009409	2.8117744784218868	2.4542978766900125	1.2503778965756602	3.6267215234327046	0.9738666366657195
maxbin2.spades.006_10_14	30.417841648033104	1.6383803384303106	1.8688031817514252	2.091422004336184	2.569380126833793	2.2427204735270805	1.7138800478925058	0.6628146232480449	0.8899126162635024
maxbin2.spades.006_10_15	4.760803658060898	4.327234045034524	6.910146555474316	2.2095168716120037	2.714463521973777	2.3693586059120277	10.260386929095384	3.8513272279804434	10.341789602479297
maxbin2.spades.006_10_16	53.57343874489283	30.653567622244555	29.13725390902763	39.12983104887061	16.024091113587133	27.9737177343162	55.22502376542509	24.802095579604263	52.72493027539678
maxbin2.spades.006_10_17	33.033406909197836	0.8108025565610751	0.9248343390920022	2.070008127158686	1.2715362402419794	1.1098787326328556	1.130887858677645	1.6400703134977248	0.4404004414955898
maxbin2.spades.006_10_18	3.4032307399419723	6.599031918677639	7.527123926498796	8.423783073020742	10.348892177525	9.033179685039629	2.3010426568927085	2.669670010304625	3.5843702599502176
maxbin2.spades.006_10_19	8.11702238594855	5.902239728506708	3.3661672217882814	3.7671576475620707	4.628076004855901	4.039682840514616	1.0290377099147516	1.1938896940492731	1.6029481907851906
maxbin2.spades.006_10_2	1.2375384508879899	7.198943911284697	8.21140791981687	9.189581534204445	11.2897005573	9.85437783822505	2.5102283529738636	2.9123672839686816	3.910222101763874
maxbin2.spades.006_10_20	9.723516399834205	3.770875382101508	4.3012136722850265	4.813590327440424	5.913652672871428	5.161816962879787	1.3148815182244047	3.051051440348148	2.04821157711441
maxbin2.spades.006_10_21	0.9442489914289866	2.746417908351387	3.1326758538029673	3.505851914783199	4.307053391802312	3.7594736261436603	0.9576593716547688	7.7775357525637565	1.4917610330428652
maxbin2.spades.006_10_22	0.35823481473073393	1.0419524082122589	1.1884932515524416	1.3300710115295908	1.6340356069776314	1.4262915292167835	0.3633225247725329	1.68610737492924	1.1319063978790131
maxbin2.spades.006_10_23	5.642198332009046	8.59610736775115	2.674109815992999	1.9951065172943914	1.2255267052332237	1.0697186469125877	13.624594678970011	8.219773452780045	8.489297984092598
maxbin2.spades.006_10_24	7.119916942773355	8.59610736775115	6.239589570650328	2.9926597759415845	2.4510534104664528	1.0697186469125877	16.34951361476398	15.49111150716239	15.705201270571328
maxbin2.spades.006_10_25	0.6694880144148142	3.8945106405310654	4.442237071376339	4.971412961126995	6.107542924440984	5.331056863302076	1.3579923876743851	1.5755429569010901	2.1153660550525877
maxbin2.spades.006_10_26	1.8070251716506047	2.1023464519680974	2.3980217818934215	2.6836831029092627	3.2969921981495576	2.8778271562958113	0.7330755367091814	5.953600376962521	1.1419232686567065
maxbin2.spades.006_10_27	4.537640986589294	1.2569584607005029	2.8674757815233507	1.6045301091468078	1.9712175576238096	1.7206056542932626	1.3148815182244094	2.034034293565432	2.0482115771144094
maxbin2.spades.006_10_28	1.1037505102514504	6.4206797046593245	7.323688144701531	8.196113260236396	10.069192388943243	8.789039693552072	2.238852314814527	2.5975167667828782	3.487495388059671
maxbin2.spades.006_10_29	4.550280655075618	2.646965449274596	1.5096181691028225	1.6894495299651626	2.0755438350467963	1.8116683490887278	0.9229808985864901	3.7479489838259887	1.4377418312892198
maxbin2.spades.006_10_3	15.320412721119679	5.467552337684579	8.107466047414118	8.375314815983812	1.7148912238936749	3.7421687993259605	12.582916807312046	4.645041490886766	10.691240176974647
maxbin2.spades.006_10_30	3.1601428299461207	1.4140782682880657	3.2259102542137694	1.8050963727901588	2.2176197523267858	7.742725444319662	0.4930805693341518	6.292793595718046	1.5361586828358034
maxbin2.spades.006_10_31	13.330161948734125	1.4098821903406231	1.6081689101125023	1.7997400037314344	2.211039278284273	1.9299374994743421	0.49161742224413946	5.133371414472987	0.7658001742326874
maxbin2.spades.006_10_32	0.7633414743795077	4.440470076119532	5.064980586055264	5.668340011752274	6.963740530671028	6.078401283391153	1.5483651523016353	1.7964134648778785	2.4119126982842585
maxbin2.spades.006_10_33	27.644705087528614	21.92909068360569	16.675474544858872	9.330959711653744	11.463388258181539	10.00598365112082	12.744236253559642	5.914345868982564	7.940758729735846
maxbin2.spades.006_10_34	11.623341911801809	7.309696894535244	4.168868636214718	2.332739927913436	2.8658470645453846	5.002991825560398	7.646541752135769	4.435759401736924	10.918543253386808
maxbin2.spades.006_10_35	8.94873421658048	2.839424092498745	3.2387624863022775	1.2081919945368393	1.4843032605215138	1.2955954926750066	0.3300300225025399	2.2974052678318726	0.5140929456502303
maxbin2.spades.006_10_36	8.021901029863214	4.2422348048641965	4.838865381320655	5.4152891183704766	6.652859256980356	5.807044083239761	1.4792417080024554	1.7162164351958302	6.912714072761132
maxbin2.spades.006_10_37	11.434855286205025	3.6548484472676206	0.8337737272429436	0.9330959711653745	1.1463388258181537	1.000598365112082	0.5097694501423846	5.027193988635175	0.3970379364867933
maxbin2.spades.006_10_38	264.63522233788757	6.335070641930534	7.226038969438844	24.260495250299776	9.934936490424	8.671852497638044	44.18001901234	5.125766419784888	27.527963596417642
