	G15	G16	G17	G18	G19	G20	G21	G22	G23
vamb.spades.1056_10_1	1.2140984506892347	1.3717260228235557	1.3717260228235557	2.2778217570502837	2.4297376597432963	1.447755866798432	1.311298855640963	2.4281969013784694	1.3717260228235557
vamb.spades.1056_11_1	4.966766389183233	5.611606457005455	11.22321291401091	9.318361733387524	4.969917940384016	5.922637636902676	5.364404409440303	4.966766389183233	5.611606457005455
vamb.spades.1056_11_10	2.944370494186467	1.1088803178513773	1.1088803178513773	1.841352917375978	0.9820795930100151	1.1703415689687924	1.0600320090510778	1.962913662790978	1.1088803178513773
vamb.spades.1056_11_11	1.2779983691465628	0.7219610646439767	0.7219610646439767	1.9980892605704288	0.6394046473008674	1.5239535439983496	1.3803145848852307	1.2779983691465628	0.7219610646439767
vamb.spades.1056_11_12	3.2780658168609333	3.7036602616236003	3.7036602616236003	2.05003958134526	3.28014584065345	3.908940840355766	3.5405069102306004	3.2780658168609333	3.7036602616236003
vamb.spades.1056_11_13	2.24525055949379	2.536753603851781	2.536753603851781	2.8082733991031046	2.246675233324281	2.6773567399697034	2.4250047330346574	2.24525055949379	2.536753603851781
vamb.spades.1056_11_14	2.4281969013784694	2.7434520456471114	2.7434520456471114	1.518547838033526	2.4297376597432963	2.895511733596864	2.622597711281926	2.4281969013784694	5.486904091294223
vamb.spades.1056_11_2	4.68295116694419	0.881823871815143	1.763647743630286	5.369151284475674	0.7809871049174881	1.8614004001694127	0.8429778357691905	0.780491861157365	0.881823871815143
vamb.spades.1056_11_3	2.5411362921402585	2.871054466374884	2.871054466374884	3.178355940070181	2.542748713684845	6.060373395900413	2.74457900017876	2.5411362921402585	5.742108932749768
vamb.spades.1056_11_4	2.1853772112406222	2.4691068410824	2.4691068410824	5.466772216920689	2.186763893768967	2.6059605602371776	2.360337940153733	2.1853772112406222	2.4691068410824
vamb.spades.1056_11_5	2.2401360935268335	0.8436583739461504	0.8436583739461504	5.136773438450531	2.241557522086644	0.8904193258213591	0.8064936014192711	1.4934240623512225	2.5309751218384506
vamb.spades.1056_11_6	0.797582923810446	0.9011338836067154	0.9011338836067154	1.9951723419418572	0.7980890123244404	0.9510804964369262	0.8614372044356691	0.797582923810446	1.8022677672134308
vamb.spades.1056_11_7	4.49050111898758	2.536753603851781	2.536753603851781	7.020683497757739	2.246675233324281	2.6773567399697034	2.4250047330346574	2.24525055949379	5.073507207703562
vamb.spades.1056_11_8	1.4799394207047103	0.8360406911114222	0.8360406911114222	3.7021030814361326	1.4808784833649888	0.8823794222022046	0.799211492151377	0.7399697103523551	1.6720813822228444
vamb.spades.1056_11_9	1.2855160066121307	1.4524157888720002	1.4524157888720002	1.607874181447268	1.2863317022170393	1.5329179766101046	1.3884340824433727	1.2855160066121307	1.4524157888720002
vamb.spades.1056_12_1	0.5082272584280517	0.5742108932749768	0.5742108932749768	0.6356711880140362	0.508549742736969	0.6060373395900414	0.5489158000357519	0.5082272584280517	0.5742108932749768
vamb.spades.1056_12_10	2.9268444793401187	1.1022798397689286	2.2045596795378573	1.830392483343978	1.95246776229372	1.163375250105883	1.0537222947114881	0.9756148264467064	1.1022798397689286
vamb.spades.1056_12_11	5.853688958680237	6.613679038613572	6.613679038613572	10.982354900063868	5.857403286881161	6.980251500635297	6.322333768268929	5.853688958680237	6.613679038613572
vamb.spades.1056_12_12	2.252966197155281	1.272735485094021	2.545470970188042	15.498581027352461	2.254395766772131	4.029835917892543	1.2166690413163572	4.505932394310562	1.272735485094021
vamb.spades.1056_12_13	2.5023403182144532	5.654443147516947	2.8272215737584734	6.259662843802316	2.5039281226362213	2.983924305615089	2.702677030710382	5.0046806364289065	2.8272215737584734
vamb.spades.1056_12_14	0.9392738730260555	1.0612207053362752	1.0612207053362752	0.5874038915029398	0.9398698683820774	1.1200403554027984	1.0144718940488826	0.9392738730260555	1.0612207053362752
