	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.megahit.33_10_1	43.469224593844444	25.01867376807151	24.51335400467032	31.856705019467302	42.31150074464865	13.272408091343253	97.20289626588571	42.49060545415952	65.75518936224032
metabat2.megahit.33_10_10	23.506962655898715	10.522875662107339	11.0467904312892	30.626188516569385	21.60973643181631	45.45657363472919	38.547414656514306	19.14812692140229	33.58312246397682
metabat2.megahit.33_10_11	99.21439056519338	95.95135017509837	42.42065938001967	98.58550473173683	78.16790616411136	42.21157851767966	76.37679688776058	116.50611723775539	58.43278520163437
metabat2.megahit.33_10_12	3.3966649915190072	0.8145614715186048	2.3943276004561707	2.5929876178636126	2.0663756177619073	5.185498975222473	2.8482709138375815	3.6314645359078144	4.281733260797046
metabat2.megahit.33_10_13	126.39512997287045	168.0404039725938	201.11867162131307	44.68966918722835	70.14801439244398	45.13693439970978	126.02926125161876	90.31403993292982	103.42466019121592
metabat2.megahit.33_10_14	1.862966768307619	1.7870481262908164	2.626430786214677	2.2754789299619556	4.533375079783776	2.844087448144983	2.082919205697551	6.828847305132771	2.348399620080017
metabat2.megahit.33_10_15	88.48138412207793	102.80710995480591	89.60342026963106	75.34708729860341	88.95523706042171	74.19865001235574	79.42106950871342	139.3271303415825	78.5471545282735
metabat2.megahit.33_10_16	25.327733173754527	40.49265118531811	23.8048755652289	34.802989876758964	29.10444270874682	54.777453047509056	35.39758650144971	24.499641006083237	45.230448174026584
metabat2.megahit.33_10_17	62.29447933921015	78.14231439371426	82.4189146456238	39.799977924583814	38.868832705057834	58.524004182300864	59.469803463459144	45.08353610195267	74.90223670134462
metabat2.megahit.33_10_18	61.49751353065965	55.91893049214584	50.57491984121456	30.51537007127918	38.97111910691322	41.07461030373591	56.940433444174026	46.963300765123684	51.681271639094156
metabat2.megahit.33_10_19	133.0889530555461	109.66128969369673	141.92544678404923	77.11108972001884	160.54644207782556	158.89677350477257	284.25033870650157	128.21639472908177	249.5009988885
metabat2.megahit.33_10_2	3.6152622434484485	3.4679349777524755	5.096835981169075	6.623671340681321	8.797440748887327	22.076876825204586	22.231553502395613	13.252020512930923	27.343742111030625
metabat2.megahit.33_10_20	111.41288120845509	84.24996600740386	137.58051690817223	91.88069710514476	296.1805052125405	353.8323493393734	291.8684738210846	117.748186717902	243.98250663138603
metabat2.megahit.33_10_21	195.39343763922074	169.8592232414225	177.33239034147823	67.86863243277803	86.1796118845854	124.9115597626756	133.12570575545152	145.48413823978484	146.24481915013268
metabat2.megahit.33_10_22	83.57111488816572	124.56480531004578	87.00514379122417	63.60123854238709	74.04512630313509	66.73591110717652	84.81294962917771	102.11210641712628	81.036324918254
metabat2.megahit.33_10_23	57.05335727942084	51.991931424273695	48.26066569669466	30.48786222566198	42.807338644	63.14762912209401	53.42362306488321	43.569468483269006	39.55585610072266
metabat2.megahit.33_10_24	14.605659463531731	7.005228655060001	10.295608681961534	4.459938702725419	5.923610104250813	11.148822796728334	4.082521643167193	4.461513572686746	9.205726510713667
metabat2.megahit.33_10_25	15.761503018199711	20.15893138146772	18.51728180208909	17.647239471215684	14.915565010703476	4.010367912492206	23.496527442688894	28.88749795264796	16.557062069628874
metabat2.megahit.33_10_26	30.295581856670594	30.59051814436696	17.983595951024455	41.8727869469853	34.920845592744975	29.21088942374236	31.198309500186028	21.43085122251281	12.059903725825734
metabat2.megahit.33_10_27	67.13363654762347	54.973767472444244	25.392756838918537	74.99896921623453	54.454711720691336	24.997360530781012	41.19136187052108	60.02036196439567	49.53754176168775
metabat2.megahit.33_10_28	5.61756133212759	21.554549707877026	15.839397972248513	27.445776632156413	18.22649262846405	25.728052607834567	31.404012639747638	37.75126869196477	21.243984255493025
metabat2.megahit.33_10_29	30.114761780477835	21.665655634206356	26.535073922581272	17.242031067237455	13.740332716045705	37.354303184914436	32.61808529334622	29.89674043552973	4.745219850883316
metabat2.megahit.33_10_3	24.829621088004	56.04182924048027	16.472973891138402	44.59938702725413	39.09582668805533	46.82505574625893	53.072781361173604	55.32276830131573	49.710923157853735
