	G15	G16	G17	G18	G19	G20	G21	G22	G23
metabat2.megahit.14_100_1	4.389916085696177	8.77983217139238	8.77983217139238	3.857216243212088	8.77983217139238	8.72859074915932	6.797905190344483	5.225762757926625	8.77983217139238
metabat2.megahit.14_100_10	2.237772569041487	0.5594431422603727	0.5594431422603727	2.21200567393567	0.5594431422603727	0.5561780841466927	1.2994695227316515	1.3319239278980712	0.5594431422603727
metabat2.megahit.14_100_11	4.826093645492916	1.3788838987122647	1.3788838987122647	3.0289037807274357	1.3788838987122647	1.3708363676564317	2.135239450813333	1.6414254816564424	1.3788838987122647
metabat2.megahit.14_100_12	1.1564832698877026	2.312966539775412	2.312966539775412	5.080741825736344	2.312966539775412	2.2994674554236916	1.7908459910047294	4.130038308683943	2.312966539775412
metabat2.megahit.14_100_13	7.682353149968333	7.682353149968333	7.682353149968333	3.375064212810577	7.682353149968333	7.6375169055144045	5.9481670415514225	4.572542413185797	7.682353149968333
metabat2.megahit.14_100_14	0.8502209019727773	1.70044180394556	1.70044180394556	0.7470497862347523	1.70044180394556	1.690517575924137	1.3165903333078248	1.0121042495589117	1.70044180394556
metabat2.megahit.14_100_15	0.7996501420041363	1.5993002840082775	1.5993002840082775	0.7026155982059193	1.5993002840082775	1.589966344642404	1.2382801276092181	0.9519047402914671	1.5993002840082775
metabat2.megahit.14_100_16	0.6401960958306925	1.2803921916613887	1.2803921916613887	0.5625107021350961	1.2803921916613887	1.2729194842524008	0.9913611735919037	0.7620904021976329	1.2803921916613887
metabat2.megahit.14_100_17	0.9038062529374482	1.807612505874902	1.807612505874902	0.7941327559554299	1.807612505874902	1.797062801297507	4.198706146977479	1.0758923325143053	1.807612505874902
metabat2.megahit.14_100_18	1.103107118969812	1.103107118969812	1.103107118969812	0.48462460491639053	1.103107118969812	1.0966690941251451	0.8540957803253325	0.656570192662576	1.103107118969812
metabat2.megahit.14_100_19	3.4694498096631072	6.938899619326237	6.938899619326237	3.0484450954418114	6.938899619326237	6.898402366271075	5.372537973014189	4.130038308683946	6.938899619326237
metabat2.megahit.14_100_2	4.468074829061692	1.276592808303343	1.276592808303343	7.290939901857863	1.276592808303343	1.2691422751003165	0.9884194490411858	2.2794870190362415	1.276592808303343
metabat2.megahit.14_100_20	1.4733280013637853	2.9466560027275794	2.9466560027275794	1.2945451775163856	2.9466560027275794	2.9294585391014154	2.2814887282662992	1.7538518845096207	2.9466560027275794
metabat2.megahit.14_100_21	1.0442033407723914	2.0884066815447895	2.0884066815447895	0.9174931840650112	2.0884066815447895	2.0762181879068287	1.6169774481887362	1.243021238535945	2.0884066815447895
metabat2.megahit.14_100_22	1.4633053618987257	2.92661072379746	2.92661072379746	1.2857387477373627	2.92661072379746	2.909530249719773	2.2659683967814943	1.7419209193088752	2.92661072379746
metabat2.megahit.14_100_23	0.6401960958306925	1.2803921916613887	1.2803921916613887	0.5625107021350961	1.2803921916613887	1.2729194842524008	0.9913611735919037	0.7620904021976329	1.2803921916613887
metabat2.megahit.14_100_24	1.8385118649496808	3.677023729899373	3.677023729899373	1.615415349721302	3.677023729899373	3.6555636470838175	2.846985934417775	2.1885673088752533	3.677023729899373
metabat2.megahit.14_100_25	0.4567003995734876	0.913400799146978	0.913400799146978	0.40128151999446354	0.913400799146978	0.9080699505494834	0.7072130665114218	1.087313694855223	0.913400799146978
metabat2.megahit.14_100_26	1.9378908846766907	3.875781769353393	3.875781769353393	1.702735098354886	3.875781769353393	3.853161682061321	3.000877066007925	2.306868244490132	3.875781769353393
metabat2.megahit.14_100_27	3.438637644390788	0.7641416987535109	0.7641416987535109	3.0213718707931263	0.7641416987535109	0.7596819657350029	1.1832943315342097	1.819270871320811	0.7641416987535109
metabat2.megahit.14_100_28	1.6767719570086748	0.4790777020024795	0.4790777020024795	1.8942453933814365	0.4790777020024795	0.47628167784945064	2.225594795057101	3.1366215217399223	0.4790777020024795
metabat2.megahit.14_100_29	1.536470629993662	3.072941259987333	3.072941259987333	1.350025685124231	3.072941259987333	3.0550067622057617	4.758533633241143	3.658033930548643	3.072941259987333
metabat2.megahit.14_100_3	0.9311943212082799	1.8623886424165657	1.8623886424165657	2.4545921547713276	1.8623886424165657	1.8515192498216737	1.441979888860951	1.1084951304692843	1.8623886424165657
