	Sample	MAG	Step	expr
0	Control	C. subterraneus UNIPD13	WL_01	31.652887370262857
1640	AA+Ab	Symbiobacterium sp. UNIPD15	WL_01	49.84203933050254
1639	AA	Symbiobacterium sp. UNIPD15	WL_01	103.9848338083409
441	Control	Tepidimicrobiaceae sp. UNIPD26	WL_01	6.306501166531543
442	AA	Tepidimicrobiaceae sp. UNIPD26	WL_01	6.6652758393952505
443	AA+Ab	Tepidimicrobiaceae sp. UNIPD26	WL_01	4.927521730103851
1638	Control	Symbiobacterium sp. UNIPD15	WL_01	145.77246486480658
504	Control	Tepidanaerobacteraceae sp. UNIPD3	WL_01	6.424592239024599
505	AA	Tepidanaerobacteraceae sp. UNIPD3	WL_01	9.125452186757096
506	AA+Ab	Tepidanaerobacteraceae sp. UNIPD3	WL_01	9.959856329529206
1576	AA	Moorella thermoacetica UNIPD30	WL_01	1.8289002482629397
1575	Control	Moorella thermoacetica UNIPD30	WL_01	2.1655778036386484
567	Control	S. terraclitae UNIPD18	WL_01	3.5478594414704236
568	AA	S. terraclitae UNIPD18	WL_01	1.0584498359559482
569	AA+Ab	S. terraclitae UNIPD18	WL_01	1.4771230972688034
1514	AA+Ab	Carbobacillus sp. UNIPD11	WL_01	0.5769091375025202
380	AA+Ab	Tepidanaerobacteraceae sp. UNIPD32	WL_01	2.8102959257458857
1513	AA	Carbobacillus sp. UNIPD11	WL_01	0.911722238788764
379	AA	Tepidanaerobacteraceae sp. UNIPD32	WL_01	3.245952938978412
1701	Control	Firmicutes sp. UNIPD31	WL_01	
191	AA+Ab	Acetivibrionales sp. UNIPD20	WL_01	1.2762455056498023
1829	AA+Ab	Moorellia sp. UNIPD5	WL_01	30.928710094318344
1828	AA	Moorellia sp. UNIPD5	WL_01	6.954233103825175
1827	Control	Moorellia sp. UNIPD5	WL_01	25.654369440385832
252	Control	Lutisporaceae sp. UNIPD17	WL_01	12.444082931221988
253	AA	Lutisporaceae sp. UNIPD17	WL_01	6.7350357264624305
254	AA+Ab	Lutisporaceae sp. UNIPD17	WL_01	1.3652252743597693
1766	AA+Ab	Tepidimicrobiaceae sp. UNIPD23	WL_01	2.0498787893271913
1765	AA	Tepidimicrobiaceae sp. UNIPD23	WL_01	1.8609086584799126
1764	Control	Tepidimicrobiaceae sp. UNIPD23	WL_01	1.5823472546833737
315	Control	Peptostreptococcales sp. UNIPD2	WL_01	1.0010042876501066
316	AA	Peptostreptococcales sp. UNIPD2	WL_01	1.0010042876501066
317	AA+Ab	Peptostreptococcales sp. UNIPD2	WL_01	1.0010042876501066
1703	AA+Ab	Firmicutes sp. UNIPD31	WL_01	
1702	AA	Firmicutes sp. UNIPD31	WL_01	
378	Control	Tepidanaerobacteraceae sp. UNIPD32	WL_01	1.8215200964574547
190	AA	Acetivibrionales sp. UNIPD20	WL_01	1.276245505649802
1512	Control	Carbobacillus sp. UNIPD11	WL_01	0.7618147694720637
694	AA	Bacilli sp. UNIPD10	WL_01	
945	Control	G. thermodenitrificans UNIPD6	WL_01	0.3643926244575945
946	AA	G. thermodenitrificans UNIPD6	WL_01	0.3643926244575945
947	AA+Ab	G. thermodenitrificans UNIPD6	WL_01	0.3643926244575945
1199	AA+Ab	T. xylanilyticum UNIPD19	WL_01	1.5803338099889135
1198	AA	T. xylanilyticum UNIPD19	WL_01	2.5394937211075193
1197	Control	T. xylanilyticum UNIPD19	WL_01	1.5518195219045572
1008	Control	Peptococcales sp. UNIPD29	WL_01	1.2323329107147025
1009	AA	Peptococcales sp. UNIPD29	WL_01	1.2963967662395897
1010	AA+Ab	Peptococcales sp. UNIPD29	WL_01	1.2003009829522588
1136	AA+Ab	Limnochordia sp. UNIPD14	WL_01	79.85109645573651
1135	AA	Limnochordia sp. UNIPD14	WL_01	45.0053949495765
1134	Control	Limnochordia sp. UNIPD14	WL_01	36.83238129405912
1071	Control	Aeribacillus composti  UNIPD16	WL_01	0.33978933061501876
1072	AA	Aeribacillus composti  UNIPD16	WL_01	0.33978933061501876
1073	AA+Ab	Aeribacillus composti  UNIPD16	WL_01	0.3397893306150187
1323	Control	Limnochordia sp. UNIPD22	WL_01	8.7600866028658
693	Control	Bacilli sp. UNIPD10	WL_01	
884	AA+Ab	Bacteria sp. UNIPD9	WL_01	2.351281316899023
882	Control	Bacteria sp. UNIPD9	WL_01	8.43038655249571
695	AA+Ab	Bacilli sp. UNIPD10	WL_01	
1451	AA+Ab	Tissierellaceae sp. UNIPD12	WL_01	113.93604499568585
1450	AA	Tissierellaceae sp. UNIPD12	WL_01	70.59084954750726
1449	Control	Tissierellaceae sp. UNIPD12	WL_01	151.38076649908217
756	Control	Tepidanaerobacteraceae sp. UNIPD1	WL_01	1.3012016879714932
757	AA	Tepidanaerobacteraceae sp. UNIPD1	WL_01	1.3012016879714932
758	AA+Ab	Tepidanaerobacteraceae sp. UNIPD1	WL_01	1.3012016879714934
1388	AA+Ab	C. subterraneus  UNIPD8	WL_01	126.63912207729093
1387	AA	C. subterraneus  UNIPD8	WL_01	97.02688004390613
1386	Control	C. subterraneus  UNIPD8	WL_01	34.93174097599512
819	Control	Peptococcales sp. UNIPD24	WL_01	2.2964147696727424
820	AA	Peptococcales sp. UNIPD24	WL_01	2.673265747411959
821	AA+Ab	Peptococcales sp. UNIPD24	WL_01	1.7380776027739298
1325	AA+Ab	Limnochordia sp. UNIPD22	WL_01	5.292920588082844
1324	AA	Limnochordia sp. UNIPD22	WL_01	1.6871319920811896
883	AA	Bacteria sp. UNIPD9	WL_01	6.175035777255945
189	Control	Acetivibrionales sp. UNIPD20	WL_01	1.276245505649802
1577	AA+Ab	Moorella thermoacetica UNIPD30	WL_01	3.2543705345343334
1892	AA+Ab	Moorellia sp. UNIPD25	WL_01	1.449921340926822
1891	AA	Moorellia sp. UNIPD25	WL_01	1.2454419812673023
64	AA	Tepidanaerobacteraceae sp. UNIPD27	WL_01	5.948267105180697
1953	Control	P. thermosuccinogenes UNIPD28	WL_01	1.5046677012054377
1955	AA+Ab	P. thermosuccinogenes UNIPD28	WL_01	1.7238402247037605
1890	Control	Moorellia sp. UNIPD25	WL_01	1.3061464116365722
63	Control	Tepidanaerobacteraceae sp. UNIPD27	WL_01	7.237781930673031
1954	AA	P. thermosuccinogenes UNIPD28	WL_01	0.9806202848584411
65	AA+Ab	Tepidanaerobacteraceae sp. UNIPD27	WL_01	8.09615741784477
128	AA+Ab	Firmicutes sp. UNIPD7	WL_01	2.1152072164289715
127	AA	Firmicutes sp. UNIPD7	WL_01	2.884978597394833
126	Control	Firmicutes sp. UNIPD7	WL_01	1.4091862346482962
1	AA	C. subterraneus UNIPD13	WL_01	99.82260599819962
2	AA+Ab	C. subterraneus UNIPD13	WL_01	112.7184167068849
1883	AA+Ab	Moorellia sp. UNIPD5	WL_02	61.05044453762494
