vamb.megahit.488_1_12	K01476
vamb.megahit.488_1_14	K03469
vamb.megahit.488_1_14	K06993

vamb.megahit.488_1_15	K01493
vamb.megahit.488_1_19	K07282
vamb.megahit.488_1_20	K03704
vamb.megahit.488_1_24	K01866
vamb.megahit.488_1_25	K05919
vamb.megahit.488_1_26	K07444
vamb.megahit.488_1_27	K00798
vamb.megahit.488_1_28	K03406
vamb.megahit.488_1_29	K07315
vamb.megahit.488_1_30	K01810
vamb.megahit.488_1_32	K00033
vamb.megahit.488_1_33	K02795
vamb.megahit.488_1_34	K02796
vamb.megahit.488_1_34	K17467

vamb.megahit.488_1_35	K02793
vamb.megahit.488_1_35	K02794

vamb.megahit.488_1_36	K02794
vamb.megahit.488_1_37	K00058
vamb.megahit.488_1_39	K01715
vamb.megahit.488_1_40	K00074
vamb.megahit.488_1_42	K01924
vamb.megahit.488_1_43	K06412
vamb.megahit.488_1_44	K04042
vamb.megahit.488_1_45	K00948
vamb.megahit.488_1_46	K01056
vamb.megahit.488_1_47	K03723
vamb.megahit.488_1_48	K03769
vamb.megahit.488_1_48	K07533

vamb.megahit.488_1_49	K04769
vamb.megahit.488_1_50	K06409
vamb.megahit.488_1_51	K02428
vamb.megahit.488_1_51	K02499

vamb.megahit.488_1_52	K03530
vamb.megahit.488_1_56	K13052
vamb.megahit.488_1_57	K07570
vamb.megahit.488_1_57	K07571

vamb.megahit.488_1_58	K06382
vamb.megahit.488_1_59	K07114
vamb.megahit.488_1_60	K08884
vamb.megahit.488_1_61	K04075
vamb.megahit.488_1_62	K00760
vamb.megahit.488_1_63	K03798
vamb.megahit.488_1_64	K06956
vamb.megahit.488_1_65	K00833
vamb.megahit.488_1_65	K03851
vamb.megahit.488_1_65	K12256
vamb.megahit.488_1_65	K15372

vamb.megahit.488_1_66	K18013
vamb.megahit.488_1_68	K01847
vamb.megahit.488_1_68	K01848

vamb.megahit.488_1_69	K01849
vamb.megahit.488_1_70	K07588
vamb.megahit.488_1_71	K01759
vamb.megahit.488_1_71	K05606

vamb.megahit.488_1_72	K01966
vamb.megahit.488_1_75	K01572
vamb.megahit.488_1_77	K03525
vamb.megahit.488_1_78	K05540
vamb.megahit.488_1_80	K03624
vamb.megahit.488_1_81	K04567
vamb.megahit.488_1_82	K21929
vamb.megahit.488_1_83	K21929
vamb.megahit.488_2_1	K06956
vamb.megahit.488_2_6	K05592
vamb.megahit.488_2_7	K02030
vamb.megahit.488_2_9	K09155
vamb.megahit.488_2_10	K10914
vamb.megahit.488_2_10	K21562

vamb.megahit.488_2_11	K07139
vamb.megahit.488_2_18	K00523
vamb.megahit.488_2_18	K00528
vamb.megahit.488_2_18	K02574
vamb.megahit.488_2_18	K07098

vamb.megahit.488_2_19	K07052
vamb.megahit.488_2_20	K03969
vamb.megahit.488_2_22	K06872
vamb.megahit.488_2_26	K03152
vamb.megahit.488_2_27	K03652
vamb.megahit.488_2_29	K01823
vamb.megahit.488_2_31	K03524
vamb.megahit.488_2_32	K03523
vamb.megahit.488_2_33	K07979
vamb.megahit.488_2_34	K01990
vamb.megahit.488_2_35	K01992
vamb.megahit.488_2_37	K06871
vamb.megahit.488_2_40	K20485
vamb.megahit.488_2_45	K07717
vamb.megahit.488_2_46	K07719
vamb.megahit.488_2_47	K03310
