concoct_spades_11_1_4	K01647
concoct_spades_11_1_6	K03711
concoct_spades_11_1_6	K09825

concoct_spades_11_1_10	K00283
concoct_spades_11_1_11	K00282
concoct_spades_11_2_1	K00282
concoct_spades_11_2_3	K07138
concoct_spades_11_2_8	K06147
concoct_spades_11_2_9	K03340
concoct_spades_11_2_10	K02016
concoct_spades_11_2_11	K02015
concoct_spades_11_2_12	K02013
concoct_spades_11_2_12	K09820

concoct_spades_11_2_13	K02019
concoct_spades_11_2_14	K06928
concoct_spades_11_2_15	K09138
concoct_spades_11_2_17	K03737
concoct_spades_11_3_2	K03406
concoct_spades_11_3_4	K00963
concoct_spades_11_3_5	K01835
concoct_spades_11_3_5	K01840

concoct_spades_11_3_6	K01923
concoct_spades_11_3_11	K00789
concoct_spades_11_3_17	K03581
concoct_spades_11_4_1	K00626
concoct_spades_11_4_4	K03310
concoct_spades_11_4_5	K01163
concoct_spades_11_4_7	K09816
concoct_spades_11_4_8	K09817
concoct_spades_11_4_9	K09815
concoct_spades_11_4_10	K11752
concoct_spades_11_4_11	K00793
concoct_spades_11_4_12	K14652
concoct_spades_11_4_13	K00794
concoct_spades_11_4_14	K09138
concoct_spades_11_4_15	K17686
concoct_spades_11_5_1	K00805
concoct_spades_11_5_2	K00805
concoct_spades_11_5_3	K03182
concoct_spades_11_5_4	K03179
concoct_spades_11_5_6	K03186
concoct_spades_11_5_7	K02049
concoct_spades_11_5_8	K02050
concoct_spades_11_5_10	K02476
concoct_spades_11_5_10	K11614
concoct_spades_11_5_10	K11691

concoct_spades_11_5_11	K02475
concoct_spades_11_5_11	K11615
concoct_spades_11_5_11	K11692
concoct_spades_11_5_11	K11712

concoct_spades_11_5_13	K01996
concoct_spades_11_5_14	K01995
concoct_spades_11_5_15	K01998
concoct_spades_11_5_18	K00762
concoct_spades_11_5_19	K21636
concoct_spades_11_6_2	K01448
concoct_spades_11_6_6	K01937
concoct_spades_11_6_7	K03797
concoct_spades_11_7_3	K01870
concoct_spades_11_7_6	K01449
concoct_spades_11_7_7	K01810
concoct_spades_11_7_8	K06941
concoct_spades_11_7_10	K01308
concoct_spades_11_7_12	K07139
concoct_spades_11_7_13	K00134
concoct_spades_11_8_1	K02428
concoct_spades_11_8_1	K02499

concoct_spades_11_8_2	K03530
concoct_spades_11_8_6	K13052
concoct_spades_11_8_7	K07570
concoct_spades_11_8_7	K07571

concoct_spades_11_8_8	K01524
concoct_spades_11_8_10	K06382
concoct_spades_11_8_11	K07114
concoct_spades_11_8_12	K08884
concoct_spades_11_8_13	K04075
concoct_spades_11_8_14	K03798
concoct_spades_11_8_15	K01677
concoct_spades_11_8_16	K01678
concoct_spades_11_8_17	K01966
concoct_spades_11_9_6	K01193
concoct_spades_11_9_7	K17318
concoct_spades_11_9_8	K17320
concoct_spades_11_10_2	K01486
concoct_spades_11_10_3	K07129
concoct_spades_11_10_8	K03406
concoct_spades_11_10_9	K03406
concoct_spades_11_11_1	K01990
concoct_spades_11_11_1	K20459

concoct_spades_11_11_2	K00219
concoct_spades_11_11_5	K03574
concoct_spades_11_11_5	K08320

concoct_spades_11_11_6	K03088
concoct_spades_11_11_9	K01572
concoct_spades_11_11_10	K03699
concoct_spades_11_12_1	K00970
concoct_spades_11_12_1	K00974

concoct_spades_11_12_4	K06923
concoct_spades_11_12_5	K00928
concoct_spades_11_12_9	K05919
concoct_spades_11_12_11	K15633
concoct_spades_11_12_12	K00123
concoct_spades_11_12_12	K00266

