	MAG	Gene	TCDB	Type	Control	AA	AA+Ab
0	M. thermautotrophicus PD4	maxbin2.spades.001_1_1278	['1.A.1.13.2', '1.A.1.13.8']	NN	5.2935803835115065	5.49150101090655	5.58182422601359
1	M. thermautotrophicus PD4	maxbin2.spades.001_1_1037	1.A.1.13.8	NN	7.998926302968974	7.938794527679697	8.302035231842801
2	Carbobacillus sp. PD11	metabat2.megahit.24_12_128	['1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	0.11973962983562199	0.0	0.72218583302303
3	Tissierellaceae sp. PD12	metabat2.megahit.33_60_52	['1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	4.1437752998209	4.84727074481236	5.09276500432769
4	Limnochordia sp. PD14	metabat2.spades.18_4_47	['1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	5.53480888525461	5.68459154135586	5.3204950810701845
5	Limnochordia sp. PD22	vamb.spades.1_7_143	['1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	2.0989290749718434	1.6605601889028767	1.6832006548869298
6	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_128_88	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	1.4618308416477432	1.2606164770786201	0.454160231558045
7	Moorellia sp. PD5	maxbin2.spades.006_1_371	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	2.3283933236736503	1.5956149623874698	3.366488633662305
8	Lutisporaceae sp. PD17	vamb.megahit.295_121_20	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	2.519159323135127	0.4891268191729567	0.0
9	Moorellia sp. PD25	vamb.spades.21_2_103	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	0.0	0.0	0.800704975156395
10	Tepidimicrobiaceae sp. PD26	vamb.spades.222_22_55	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	1.6993320444890163	2.2880623124928934	2.851276783631985
11	Firmicutes sp. PD31	vamb.spades.812_32_23	['1.A.104.1.2', '1.A.104.1.1', '3.A.6.1.1', '3.A.6.3.1']	NN	0.5522330059075167	1.2838272432463966	1.81268641214541
12	M. thermautotrophicus PD4	maxbin2.spades.001_1_458	1.A.11.1.5	NN	2.2235383843336236	1.1066978806704835	3.644853702567805
13	M. thermautotrophicus PD4	maxbin2.spades.001_1_460	1.A.11.1.5	NN	11.885289722336301	12.934671340782097	12.6816745555945
14	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_97_6	1.A.112.2.10	NN	1.6226905934677234	2.1274948016564035	1.80449338603405
15	Firmicutes sp. PD7	metabat1.megahit.20_11_29	1.A.112.2.10	NN	1.59091594045681	0.40785766873542667	2.203596983977175
16	T. xylanilyticum PD19	vamb.megahit.488_13_39	1.A.112.2.10	NN	1.2181705723725367	2.0606488760629533	3.009715692870825
17	Tepidimicrobiaceae sp. PD23	vamb.spades.1056_45_146	1.A.112.2.10	NN	1.6210586005518068	1.1623792445992	2.4477304863227953
18	Moorellia sp. PD25	vamb.spades.21_29_27	1.A.112.2.10	NN	0.65983794265218	0.0	0.61825084214937
19	Tepidanaerobacteraceae sp. PD27	vamb.spades.267_82_8	1.A.112.2.10	NN	2.98688654717221	3.0928895681007766	3.85053316666294
20	Tepidimicrobiaceae sp. PD26	vamb.spades.222_45_145	1.A.112.2.12	NN	5.41732475287959	5.050385439195289	5.220177371753785
21	Carbobacillus sp. PD11	metabat2.megahit.24_24_26	1.A.112.2.2	NN	1.78977933816381	0.9458780450959133	4.310315539942785
22	Moorellia sp. PD5	maxbin2.spades.006_5_149	1.A.112.2.4	NN	2.5236665720886933	1.9224318306215666	2.29284837428883
23	Tissierellaceae sp. PD12	metabat2.megahit.33_1_12	1.A.112.2.4	NN	9.30888808803973	8.853934297802374	8.756971529403955
24	Symbiobacterium sp. PD15	metabat2.spades.25_1_159	1.A.112.2.4	NN	0.0	0.0	0.91755496830021
25	Lutisporaceae sp. PD17	vamb.megahit.295_87_26	1.A.112.2.4	NN	3.871327913707116	3.0778861282221235	0.0
26	Tepidimicrobiaceae sp. PD23	vamb.spades.1056_32_3	1.A.112.2.4	NN	0.25930422683840965	0.0	0.674956067663115
27	Firmicutes sp. PD7	metabat1.megahit.20_7_133	1.A.112.2.7	NN	0.165744815548678	0.0	1.79788385924973
28	Peptococcales sp. PD24	vamb.spades.108_17_28	1.A.112.2.7	NN	0.5599184187427066	0.7427907645163366	1.0906766621240256
29	Lutisporaceae sp. PD17	vamb.megahit.295_5_31	1.A.13.3.1	NN	1.2668710188870855	1.1586399829386902	0.0
30	Limnochordia sp. PD14	metabat2.spades.18_13_36	1.A.13.5.1	NN	4.80541158286418	4.651694770356246	4.8589154887419
31	Limnochordia sp. PD14	metabat2.spades.18_64_2	1.A.13.5.1	NN	3.1815219170254463	4.4063603314438735	3.74350104218329
32	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_9_21	1.A.134.1.2	NN	0.0	0.0	1.09134910149569
33	Moorellia sp. PD5	maxbin2.spades.006_10_64	1.A.134.1.2	NN	0.139933248653137	0.0	0.9865863204109481
34	Firmicutes sp. PD7	metabat1.megahit.20_7_686	1.A.134.1.2	NN	0.0	0.0	0.57671581061097
35	Firmicutes sp. PD7	metabat1.megahit.20_16_14	1.A.134.1.2	NN	0.0	0.0	0.57671581061097
36	Tissierellaceae sp. PD12	metabat2.megahit.33_30_3	1.A.134.1.2	NN	0.47349451178925334	1.0357175783097334	1.4174056688969774
37	C. subterraneus PD13	metabat2.spades.15_19_26	1.A.134.1.2	NN	1.0064787742514334	1.89964642235435	1.738683875082915
38	Limnochordia sp. PD14	metabat2.spades.18_40_5	1.A.134.1.2	NN	0.0	2.069514299592603	1.81027060050017
39	Peptococcales sp. PD24	vamb.spades.108_21_50	1.A.134.1.2	NN	0.131621558448979	0.0	0.563172977558055
40	Limnochordia sp. PD22	vamb.spades.1_36_22	1.A.134.1.2	NN	0.4976002971453067	0.0	0.633990195634215
41	Tepidanaerobacteraceae sp. PD27	vamb.spades.267_19_8	1.A.134.1.2	NN	1.0079502420965	1.01788930521743	1.2143891528449169
42	Tepidanaerobacteraceae sp. PD27	vamb.spades.267_43_1	1.A.134.1.2	NN	0.0	0.9744006443983206	1.2143891528449169
43	Tepidanaerobacteraceae sp. PD32	vamb.spades.857_29_47	1.A.134.1.2	NN	0.4838443011077467	1.1567091781627514	0.588101932979642
44	Tepidanaerobacteraceae sp. PD32	vamb.spades.857_90_88	1.A.134.1.2	NN	0.7356744823500567	0.0	0.303519091131927
45	Carbobacillus sp. PD11	metabat2.megahit.24_19_270	1.A.134.1.3	NN	0.08304223173859233	0.5361892353377633	1.05021631586707
46	Symbiobacterium sp. PD15	metabat2.spades.25_19_19	1.A.134.1.3	NN	0.5679023416318533	0.31663662113845065	1.7151756332192536
47	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_9_44	1.A.134.1.4	NN	0.0	0.4098454603259067	0.9114442712147766
48	Moorellia sp. PD5	maxbin2.spades.006_6_106	1.A.134.1.4	NN	0.07503854324461233	0.0	1.400427042272165
49	Carbobacillus sp. PD11	metabat2.megahit.24_28_102	1.A.134.1.4	NN	0.27020250927784334	0.0	0.99551383816372
50	Tissierellaceae sp. PD12	metabat2.megahit.33_4_60	1.A.134.1.4	NN	2.06773435596419	1.7237142350856967	1.84835707190088
51	C. subterraneus PD13	metabat2.spades.15_1_41	1.A.134.1.4	NN	0.0	0.27096518528628966	1.2831821454646
52	Symbiobacterium sp. PD15	metabat2.spades.25_9_22	1.A.134.1.4	NN	0.0	0.6159075888035913	1.666250169607055
53	Symbiobacterium sp. PD15	metabat2.spades.25_10_93	1.A.134.1.4	NN	0.0	0.0	1.28823359894268
54	Firmicutes sp. PD31	vamb.spades.812_2_27	1.A.134.1.4	NN	0.37342861657121	0.5522330059075167	0.3575206747820805
55	Tepidanaerobacteraceae sp. PD1	concoct_megahit_6_254_7	1.A.16.1.1	NN	0.0	0.4141512762025233	3.67034898736798
56	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_90_48	1.A.16.1.1	NN	0.6668258307954468	0.0	1.2669854404802365
57	Symbiobacterium sp. PD15	metabat2.spades.25_7_21	1.A.16.1.1	NN	0.9861018644252266	1.7345948693831368	1.1703625752743085
58	Tepidanaerobacteraceae sp. PD27	vamb.spades.267_37_35	['1.A.16.1.1', '1.A.16.2.1']	NN	1.2864142850760534	0.24405005011147732	1.5350698774302551
59	Tepidanaerobacteraceae sp. PD32	vamb.spades.857_108_1	['1.A.16.1.1', '1.A.16.2.1']	NN	0.0	0.29041757393014134	1.66281753203054
60	C. subterraneus PD13	metabat2.spades.15_33_12	1.A.16.2.1	NN	1.4720417129522	2.9775734252707333	2.461350594700435
61	M. wolfeii PD21	vamb.megahit.78_30_3	1.A.16.2.1	NN	1.16174439641546	0.0	0.0
62	Tepidimicrobiaceae sp. PD26	vamb.spades.222_13_114	1.A.16.2.1	NN	2.889076442130653	2.9647452571796897	3.62260256118656
63	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_27_17	['1.A.16.2.4', '1.A.16.2.1']	NN	0.0	0.7634979826476532	0.184962929001075
64	Lutisporaceae sp. PD17	vamb.megahit.295_41_1	['1.A.16.2.4', '1.A.16.2.1']	NN	3.33031678268475	4.178148938127164	1.264535782804715
65	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_25_11	1.A.22.1.3	NN	0.33343944860552005	0.9501850260799799	1.0158475090644665
66	Firmicutes sp. PD7	metabat1.megahit.20_18_9	1.A.22.1.3	NN	0.38665404078318666	0.0	0.0
67	Firmicutes sp. PD31	vamb.spades.812_20_1	1.A.22.1.3	NN	0.0	0.80253119813288	0.0
68	Tepidanaerobacteraceae sp. PD3	maxbin2.megahit.017_62_14	1.A.23.3.1	NN	0.4167710651070533	0.4098454603259067	0.3320469866190365
69	Firmicutes sp. PD7	metabat1.megahit.20_17_50	1.A.23.3.1	NN	0.38665404078318666	0.0	0.770774247321131
70	Tissierellaceae sp. PD12	metabat2.megahit.33_1_10	1.A.23.3.1	NN	7.856207191243573	7.097483100302571	6.74512645487641
71	C. subterraneus PD13	metabat2.spades.15_11_28	1.A.23.3.1	NN	7.665199251126853	7.4616166561026	7.054979969844075
72	Lutisporaceae sp. PD17	vamb.megahit.295_13_12	1.A.23.3.1	NN	1.5608018975632743	1.1854739520390734	0.0
73	T. xylanilyticum PD19	vamb.megahit.488_10_64	1.A.23.3.1	NN	1.3284821010302965	1.6449727407086467	0.88793773641484
74	Tepidimicrobiaceae sp. PD26	vamb.spades.222_19_3	1.A.23.3.1	NN	2.46469597429678	1.2323351398996067	2.198533499673925
75	Tepidanaerobacteraceae sp. PD27	vamb.spades.267_12_21	1.A.23.3.1	NN	1.3209232771735733	0.8841552017231934	1.8214045826957448
76	Tepidanaerobacteraceae sp. PD32	vamb.spades.857_92_5	1.A.23.3.1	NN	0.0	0.3342500531214067	1.40313917852685
77	Carbobacillus sp. PD11	metabat2.megahit.24_33_55	1.A.23.4.10	NN	0.34207336627525	0.0	0.90479614737647
78	Peptococcales sp. PD24	vamb.spades.108_34_31	1.A.23.4.10	NN	0.7521188187913567	2.49098161209217	3.00609214946365
