99978 Cell growth
K06190 ispZ; intracellular septation protein
K07321 cooC; CO dehydrogenase maturation factor
K07322 ytfE, scdA; regulator of cell morphogenesis and NO signaling
K15722 cedA; cell division activator
K20073 mapZ, locZ; mid-cell-anchored protein Z
K22304 dicB; cell division inhibition protein DicB
K06317 bofA; inhibitor of the pro-sigma K processing machinery
K06318 bofC; forespore regulator of the sigma-K checkpoint
K06319 cgeA; spore maturation protein CgeA
K06320 cgeB; spore maturation protein CgeB
K06321 cgeC; spore maturation protein CgeC
K06322 cgeD; spore maturation protein CgeD
K06323 cgeE; spore maturation protein CgeE
K06325 cotB; spore coat protein B
K06326 cotC; spore coat protein C
K06327 cotD; spore coat protein D
K06328 cotE; spore coat protein E
K06329 cotF; spore coat protein F
K06330 cotH; spore coat protein H
K06331 cotI; spore coat protein I
K06332 cotJA; spore coat protein JA
K06333 cotJB; spore coat protein JB
K06334 cotJC; spore coat protein JC
K06335 cotM; spore coat protein M
K25519 cotR; putative sporulation hydrolase
K06337 cotS; spore coat-associated protein S
K06338 cotSA; spore coat protein SA
K06339 cotT; spore coat protein T
K06340 cotV; spore coat protein V
K06341 cotW; spore coat protein W
K06342 cotX; spore coat protein X
K06343 cotY_Z; CotY/CotZ family spore coat protein
K06345 coxA; spore cortex protein
K06346 jag; spoIIIJ-associated protein
K06348 kapD; sporulation inhibitor KapD
K06349 kbaA; KinB signaling pathway activation protein
K06350 kipA; antagonist of KipI
K06351 kipI; inhibitor of KinA
K06357 phrI; phosphatase RapI regulator
K06370 safA; morphogenetic protein associated with SpoVID
K06371 sda; developmental checkpoint coupling sporulation initiation to replication initiation
K06372 sinI; antagonist of SinR
K06373 spmA; spore maturation protein A
K06374 spmB; spore maturation protein B
K06376 spo0E; stage 0 sporulation regulatory protein
K06377 spo0M; sporulation-control protein
K06378 spoIIAA; stage II sporulation protein AA (anti-sigma F factor antagonist)
K06380 spoIIB; stage II sporulation protein B
K06384 spoIIM; stage II sporulation protein M
K06385 spoIIP; stage II sporulation protein P
