maxbin2.spades.001_1_1	K10978
maxbin2.spades.001_1_4	K00024
maxbin2.spades.001_1_5	K08681
maxbin2.spades.001_1_8	K00441
maxbin2.spades.001_1_11	K06921
maxbin2.spades.001_1_14	K02007
maxbin2.spades.001_1_16	K05592
maxbin2.spades.001_1_17	K01934
maxbin2.spades.001_1_19	K04655
maxbin2.spades.001_1_20	K02995
maxbin2.spades.001_1_21	K02319
maxbin2.spades.001_1_22	K07025
maxbin2.spades.001_1_25	K01142
maxbin2.spades.001_1_26	K04759
maxbin2.spades.001_1_27	K03709
maxbin2.spades.001_1_28	K07034
maxbin2.spades.001_1_29	K01895
maxbin2.spades.001_1_30	K22447
maxbin2.spades.001_1_32	K19817
maxbin2.spades.001_1_33	K18979
maxbin2.spades.001_1_35	K05716
maxbin2.spades.001_1_37	K00013
maxbin2.spades.001_1_38	K09759
maxbin2.spades.001_1_39	K06042
maxbin2.spades.001_1_40	K01845
maxbin2.spades.001_1_44	K15888
maxbin2.spades.001_1_45	K03424
maxbin2.spades.001_1_46	K01607
maxbin2.spades.001_1_47	K14654
maxbin2.spades.001_1_49	K02230
maxbin2.spades.001_1_50	K00202
maxbin2.spades.001_1_52	K04800
maxbin2.spades.001_1_53	K04801
maxbin2.spades.001_1_54	K00014
maxbin2.spades.001_1_55	K09006
maxbin2.spades.001_1_56	K01892
maxbin2.spades.001_1_57	K01496
maxbin2.spades.001_1_58	K06865
maxbin2.spades.001_1_60	K06988
maxbin2.spades.001_1_61	K08094
maxbin2.spades.001_1_62	K01170
maxbin2.spades.001_1_63	K01867
maxbin2.spades.001_1_65	K01733
maxbin2.spades.001_1_67	K02936
maxbin2.spades.001_1_68	K02979
maxbin2.spades.001_1_69	K02896
maxbin2.spades.001_1_70	K00940
maxbin2.spades.001_1_71	K03243
maxbin2.spades.001_1_72	K02991
maxbin2.spades.001_1_73	K03242
maxbin2.spades.001_1_74	K07158
maxbin2.spades.001_1_75	K01507
maxbin2.spades.001_1_76	K03049
maxbin2.spades.001_1_77	K03050
maxbin2.spades.001_1_78	K09735
maxbin2.spades.001_1_79	K02974
maxbin2.spades.001_1_80	K02977
maxbin2.spades.001_1_81	K01755
maxbin2.spades.001_1_83	K07134
maxbin2.spades.001_1_85	K06910
maxbin2.spades.001_1_89	K17830
maxbin2.spades.001_1_92	K21816
maxbin2.spades.001_1_93	K10947
maxbin2.spades.001_1_96	K03695
maxbin2.spades.001_1_96	K03696

maxbin2.spades.001_1_100	K04068
maxbin2.spades.001_1_101	K01206
maxbin2.spades.001_1_101	K12287

maxbin2.spades.001_1_110	K03041
maxbin2.spades.001_1_111	K03041
maxbin2.spades.001_1_112	K03041
maxbin2.spades.001_1_117	K07076
maxbin2.spades.001_1_119	K06915
maxbin2.spades.001_1_121	K03546
maxbin2.spades.001_1_122	K07452
maxbin2.spades.001_1_123	K01251
maxbin2.spades.001_1_124	K01251
maxbin2.spades.001_1_125	K03724
maxbin2.spades.001_1_130	K02230
maxbin2.spades.001_1_135	K09000
maxbin2.spades.001_1_137	K19076
maxbin2.spades.001_1_138	K07061
maxbin2.spades.001_1_143	K01711
maxbin2.spades.001_1_144	K02805
maxbin2.spades.001_1_144	K13010

maxbin2.spades.001_1_145	K15521
maxbin2.spades.001_1_151	K00441
maxbin2.spades.001_1_154	K01854
maxbin2.spades.001_1_155	K04069
maxbin2.spades.001_1_156	K00656
maxbin2.spades.001_1_157	K03328
maxbin2.spades.001_1_160	K07038
maxbin2.spades.001_1_161	K02230
maxbin2.spades.001_1_168	K03455
maxbin2.spades.001_1_168	K11747

maxbin2.spades.001_1_171	K09809
maxbin2.spades.001_1_173	K17248
maxbin2.spades.001_1_175	K09809
maxbin2.spades.001_1_176	K03328
maxbin2.spades.001_1_177	K00057
maxbin2.spades.001_1_182	K01710
maxbin2.spades.001_1_187	K07027
maxbin2.spades.001_1_189	K01784
maxbin2.spades.001_1_193	K14092
