0	1	2
TC#	Name	Organismal Type
1.S.1.1.1	The PduA shell protein of 99 aas which forms a hexameric array with a porein the array for diffusion of 1,2-propanediol but not propionaldehyde (Park et al. 2017).  A serine that protrudes into the poreat the point of construction to form a hydrogen bond with propionaldehyde prevent it's free diffusion.	PduA of Salmonella typhimurium
1.S.1.1.2	EutM pore-forming shell protein of the ethanolamine metabolizing Eut microcompartment (Takenoya et al. 2010).	EutM of E. coli
1.S.1.1.3	Uncharacterized carboxysome shell protein of 103 aas.	UP of Nostoc sphaeroides
1.S.1.1.4	BMC domain-containing protein of 185 aas. It has an internally duplicated domain of about 80 aas, corresponding to and homologous to the smaller (~90 residue) members of this family.	BMC protein of Thermovenabulum gondwanense
1.S.1.1.5	BMC domain-containing protein of 96 aas	BMC protein of Amycolatopsis jejuensis
1.S.1.1.6	Carbon dioxide-concentrating mechanism protein, CcmK, of 103 aas.	CcmK of Leptolyngbya foveolarum (microbial mat metagenome)
TC#	Name	Organismal Type
9.B.250.1.1	Uncharacterized protein of 406 aas and 5 TMSs	UP of Candidatus Wolfebacteria bacterium
9.B.250.1.2	Uncharacterized protein of 383 aas and 5 TMSs	UP of Coleofasciculus chthonoplastes
9.B.250.1.3	Putative serine endopeptidase of 345 aas and 4 TMSs.	Endopeptidase of Methylobacillus rhizosphaerae
9.B.250.1.4	Uncharacterized protein of 276 aas and 0 - 3 TMSs with a C-terminal zinc-ribbon domain, characteristic of this family	UP of Candidatus Stoquefichus
9.B.250.1.5	Uncharacterized double zinc ribbon family protein of 360 aas and 4 - 5 TMSs.	UP of Burkholderia pseudomallei
TC#	Name	Organismal Type
9.B.158.1.1	"Copper homeostasis protein, CutC of 273 aas and 0 TMSs (Kunjunni et al. 2015). CutC may play  a role in intracellular copper trafficking (Li et al. 2005). Copper induced damage to cells upon hcutC silencing induces apoptosis and provides 
evidence for the role of hCutC protein in intracellular copper 
homeostasis (Kunjunni et al. 2016)."	CutC of Homo sapiens
9.B.158.1.2	Copper homeostasis portein, CutC of 248 aas (Gupta et al. 1995).	CutC of E. coli
9.B.158.1.3	CutC of 209 aas.  Responds transcriptionally to copper and participates in the control of intracellular copper homeostasis (Latorre et al. 2011).	CutC of Enterococcus faecalis
TC#	Name	Organismal Type
