metabat1.megahit.20_1_2	K01951
metabat1.megahit.20_1_3	K04077
metabat1.megahit.20_1_4	K04078
metabat1.megahit.20_1_5	K01934
metabat1.megahit.20_1_6	K01409
metabat1.megahit.20_1_7	K03789
metabat1.megahit.20_1_8	K14742
metabat1.megahit.20_1_9	K06925
metabat1.megahit.20_1_14	K00854
metabat1.megahit.20_1_17	K01266
metabat1.megahit.20_1_18	K07010
metabat1.megahit.20_1_20	K07171
metabat1.megahit.20_1_21	K07723
metabat1.megahit.20_1_22	K01775
metabat1.megahit.20_1_24	K00997
metabat1.megahit.20_1_25	K00820
metabat1.megahit.20_1_26	K03431
metabat1.megahit.20_1_28	K18672
metabat1.megahit.20_1_31	K03088
metabat1.megahit.20_1_33	K00926
metabat1.megahit.20_1_34	K04069
metabat1.megahit.20_1_35	K06990
metabat1.megahit.20_1_35	K09141

metabat1.megahit.20_1_36	K21898
metabat1.megahit.20_1_38	K17898
metabat1.megahit.20_1_39	K17899
metabat1.megahit.20_1_40	K21400
metabat1.megahit.20_1_41	K21399
metabat1.megahit.20_1_42	K21672
metabat1.megahit.20_1_43	K01448
metabat1.megahit.20_1_44	K02996
metabat1.megahit.20_1_45	K02871
metabat1.megahit.20_1_46	K06173
metabat1.megahit.20_1_47	K16783
metabat1.megahit.20_1_47	K16785

metabat1.megahit.20_1_48	K16786
metabat1.megahit.20_1_48	K16787

metabat1.megahit.20_1_49	K16786
metabat1.megahit.20_1_49	K16787

metabat1.megahit.20_1_50	K02879
metabat1.megahit.20_1_51	K03040
metabat1.megahit.20_1_52	K02986
metabat1.megahit.20_1_53	K02948
metabat1.megahit.20_1_54	K02952
metabat1.megahit.20_1_55	K02919
metabat1.megahit.20_1_56	K02518
metabat1.megahit.20_1_57	K01265
metabat1.megahit.20_1_58	K00939
metabat1.megahit.20_1_59	K03076
metabat1.megahit.20_1_60	K02876
metabat1.megahit.20_1_61	K02907
metabat1.megahit.20_1_62	K02988
metabat1.megahit.20_1_63	K02881
metabat1.megahit.20_1_64	K02933
metabat1.megahit.20_1_65	K02994
metabat1.megahit.20_1_66	K02954
metabat1.megahit.20_1_67	K02931
metabat1.megahit.20_1_68	K02895
metabat1.megahit.20_1_69	K02874
metabat1.megahit.20_1_70	K02961
metabat1.megahit.20_1_71	K02904
metabat1.megahit.20_1_72	K02878
metabat1.megahit.20_1_73	K02982
metabat1.megahit.20_1_74	K02890
metabat1.megahit.20_1_75	K02965
metabat1.megahit.20_1_76	K02886
metabat1.megahit.20_1_77	K02892
metabat1.megahit.20_1_78	K02926
metabat1.megahit.20_1_79	K02906
metabat1.megahit.20_1_80	K02946
metabat1.megahit.20_1_81	K02358
metabat1.megahit.20_2_1	K07497
metabat1.megahit.20_2_3	K07023
metabat1.megahit.20_2_6	K06978
metabat1.megahit.20_2_7	K06901
metabat1.megahit.20_2_8	K01588
metabat1.megahit.20_2_9	K01756
metabat1.megahit.20_2_10	K01952
metabat1.megahit.20_2_11	K00764
metabat1.megahit.20_2_12	K01933
metabat1.megahit.20_2_13	K11175
metabat1.megahit.20_2_14	K00602
metabat1.megahit.20_2_15	K01945
metabat1.megahit.20_2_16	K01778
metabat1.megahit.20_2_18	K02490
metabat1.megahit.20_2_20	K03657
metabat1.megahit.20_2_21	K01972
metabat1.megahit.20_2_22	K02434
metabat1.megahit.20_2_23	K01470
metabat1.megahit.20_2_28	K01739
metabat1.megahit.20_2_28	K01761

metabat1.megahit.20_2_30	K00567
metabat1.megahit.20_2_31	K03215
metabat1.megahit.20_2_37	K07316
metabat1.megahit.20_3_2	K05366
metabat1.megahit.20_3_3	K07456
metabat1.megahit.20_3_4	K03558
metabat1.megahit.20_3_5	K09888
metabat1.megahit.20_3_6	K01890
metabat1.megahit.20_3_7	K01889
metabat1.megahit.20_3_8	K03437
metabat1.megahit.20_3_9	K03499
metabat1.megahit.20_3_10	K03498
metabat1.megahit.20_3_11	K02887
metabat1.megahit.20_3_12	K02916
metabat1.megahit.20_3_13	K02520
metabat1.megahit.20_3_14	K01868
metabat1.megahit.20_3_17	K02342
metabat1.megahit.20_3_19	K19126
metabat1.megahit.20_3_20	K19125
metabat1.megahit.20_3_21	K19124
metabat1.megahit.20_3_22	K19046
metabat1.megahit.20_3_23	K19123
metabat1.megahit.20_3_24	K06877
metabat1.megahit.20_3_24	K07012
metabat1.megahit.20_3_24	K19123

metabat1.megahit.20_3_25	K15342
metabat1.megahit.20_3_26	K13572
metabat1.megahit.20_3_28	K07149
metabat1.megahit.20_3_29	K01925
metabat1.megahit.20_3_30	K03973
metabat1.megahit.20_3_33	K04940
metabat1.megahit.20_3_35	K01990
metabat1.megahit.20_3_37	K03437
metabat1.megahit.20_3_39	K01715
metabat1.megahit.20_3_40	K00074
metabat1.megahit.20_3_41	K07240
metabat1.megahit.20_3_42	K07240
metabat1.megahit.20_3_44	K00948
metabat1.megahit.20_3_46	K01990
metabat1.megahit.20_3_47	K01992
metabat1.megahit.20_3_48	K01992
metabat1.megahit.20_3_49	K00873
metabat1.megahit.20_3_50	K01733
metabat1.megahit.20_3_51	K00970
metabat1.megahit.20_3_51	K00974

metabat1.megahit.20_3_54	K00027
metabat1.megahit.20_3_55	K01939
metabat1.megahit.20_3_56	K03698
metabat1.megahit.20_3_57	K00639
metabat1.megahit.20_3_58	K03574
metabat1.megahit.20_3_63	K14054
metabat1.megahit.20_3_65	K01585
metabat1.megahit.20_3_66	K13280
metabat1.megahit.20_3_71	K03100
metabat1.megahit.20_3_71	K06147
metabat1.megahit.20_3_71	K13280

metabat1.megahit.20_3_73	K03568
metabat1.megahit.20_3_75	K03734
metabat1.megahit.20_3_76	K00805
metabat1.megahit.20_3_77	K00805
metabat1.megahit.20_3_80	K19302
metabat1.megahit.20_3_84	K12410
metabat1.megahit.20_3_85	K00176
metabat1.megahit.20_3_86	K00177
metabat1.megahit.20_3_87	K00175
metabat1.megahit.20_3_88	K00174
metabat1.megahit.20_3_90	K03100
metabat1.megahit.20_3_91	K01867
metabat1.megahit.20_3_92	K06959
metabat1.megahit.20_3_93	K06959
metabat1.megahit.20_3_94	K01436
metabat1.megahit.20_3_97	K03641
metabat1.megahit.20_3_102	K09764
metabat1.megahit.20_3_104	K02238
metabat1.megahit.20_3_108	K07005
metabat1.megahit.20_3_111	K00969
metabat1.megahit.20_3_111	K09710

metabat1.megahit.20_3_114	K00969
metabat1.megahit.20_3_115	K03979
metabat1.megahit.20_3_116	K06375
metabat1.megahit.20_3_117	K02899
metabat1.megahit.20_3_118	K07584
metabat1.megahit.20_3_119	K02888
metabat1.megahit.20_3_120	K08301
metabat1.megahit.20_3_123	K06402
metabat1.megahit.20_3_124	K21471
metabat1.megahit.20_3_125	K05837
metabat1.megahit.20_3_126	K03608
metabat1.megahit.20_3_127	K03609
metabat1.megahit.20_3_128	K03610
metabat1.megahit.20_3_129	K05515
metabat1.megahit.20_3_130	K03571
metabat1.megahit.20_3_131	K03570
metabat1.megahit.20_3_132	K03569
metabat1.megahit.20_3_133	K03630
metabat1.megahit.20_3_134	K06287
metabat1.megahit.20_3_136	K03616
metabat1.megahit.20_3_137	K03617
metabat1.megahit.20_3_138	K03613
metabat1.megahit.20_3_139	K03614
metabat1.megahit.20_3_140	K03615
metabat1.megahit.20_3_141	K00336
metabat1.megahit.20_3_141	K18332

metabat1.megahit.20_3_142	K00335
metabat1.megahit.20_3_142	K18331

metabat1.megahit.20_3_143	K17992
metabat1.megahit.20_3_145	K18330
metabat1.megahit.20_3_146	K07053
metabat1.megahit.20_3_151	K06380
metabat1.megahit.20_3_152	K11754
metabat1.megahit.20_3_153	K01571
metabat1.megahit.20_3_153	K01960

metabat1.megahit.20_3_154	K03978
metabat1.megahit.20_3_155	K01338
metabat1.megahit.20_3_156	K01338
metabat1.megahit.20_3_156	K04076

metabat1.megahit.20_3_157	K03544
metabat1.megahit.20_3_158	K01358
metabat1.megahit.20_3_159	K03545
metabat1.megahit.20_3_160	K02428
metabat1.megahit.20_3_161	K00989
metabat1.megahit.20_3_161	K02428

metabat1.megahit.20_3_162	K06298
metabat1.megahit.20_3_163	K01776
metabat1.megahit.20_3_165	K01448
metabat1.megahit.20_3_166	K16203
metabat1.megahit.20_3_167	K02083
metabat1.megahit.20_3_169	K03737
metabat1.megahit.20_3_170	K01303
metabat1.megahit.20_3_171	K07001
metabat1.megahit.20_3_173	K01303
metabat1.megahit.20_3_175	K05601
metabat1.megahit.20_3_178	K07088
metabat1.megahit.20_3_181	K06295
metabat1.megahit.20_3_181	K06307

metabat1.megahit.20_3_182	K01738
metabat1.megahit.20_3_183	K02035
metabat1.megahit.20_3_184	K02034
metabat1.megahit.20_3_185	K02033
metabat1.megahit.20_3_186	K02032
metabat1.megahit.20_3_186	K10823

metabat1.megahit.20_3_187	K02031
metabat1.megahit.20_3_189	K09749
metabat1.megahit.20_3_191	K20810
metabat1.megahit.20_3_194	K02003
metabat1.megahit.20_3_194	K02004

metabat1.megahit.20_3_196	K03574
metabat1.megahit.20_3_197	K00263
metabat1.megahit.20_3_199	K18815
metabat1.megahit.20_3_200	K18816
metabat1.megahit.20_3_201	K13993
metabat1.megahit.20_3_202	K00100
metabat1.megahit.20_3_202	K19955

metabat1.megahit.20_3_206	K04750
metabat1.megahit.20_3_208	K02031
metabat1.megahit.20_3_208	K02032
metabat1.megahit.20_3_208	K10823

metabat1.megahit.20_3_211	K02035
metabat1.megahit.20_3_211	K15580

metabat1.megahit.20_3_212	K06206
metabat1.megahit.20_3_222	K01990
metabat1.megahit.20_3_224	K01874
metabat1.megahit.20_3_226	K01120
metabat1.megahit.20_3_226	K03651

metabat1.megahit.20_3_228	K06969
metabat1.megahit.20_3_229	K12941
metabat1.megahit.20_3_230	K03088
metabat1.megahit.20_3_232	K03664
metabat1.megahit.20_3_234	K01992
metabat1.megahit.20_3_235	K01990
metabat1.megahit.20_3_236	K12573
metabat1.megahit.20_3_237	K03789
metabat1.megahit.20_3_238	K06951
metabat1.megahit.20_3_239	K15987
metabat1.megahit.20_3_240	K03075
metabat1.megahit.20_3_241	K01689
metabat1.megahit.20_3_242	K15633
metabat1.megahit.20_3_243	K01803
metabat1.megahit.20_3_244	K00927
metabat1.megahit.20_3_244	K01803

metabat1.megahit.20_3_245	K00134
metabat1.megahit.20_3_246	K03092
metabat1.megahit.20_3_247	K09762
metabat1.megahit.20_3_249	K00525
metabat1.megahit.20_3_250	K21064
metabat1.megahit.20_3_253	K06958
metabat1.megahit.20_3_254	K04477
metabat1.megahit.20_3_255	K04477
metabat1.megahit.20_3_258	K06147
metabat1.megahit.20_3_259	K06147
metabat1.megahit.20_3_261	K08972
metabat1.megahit.20_3_265	K02315
metabat1.megahit.20_3_266	K02086
metabat1.megahit.20_3_267	K03703
metabat1.megahit.20_3_268	K03701
metabat1.megahit.20_3_269	K03702
metabat1.megahit.20_3_271	K21471
metabat1.megahit.20_3_272	K09811
metabat1.megahit.20_3_273	K09812
metabat1.megahit.20_3_274	K12574
