metabat1.spades.10_2_2	K06969
metabat1.spades.10_2_4	K00762
metabat1.spades.10_2_5	K17828
metabat1.spades.10_2_6	K02823
metabat1.spades.10_2_7	K01591
metabat1.spades.10_2_8	K01465
metabat1.spades.10_2_9	K00609
metabat1.spades.10_2_10	K02825
metabat1.spades.10_2_11	K04655
metabat1.spades.10_2_12	K06180
metabat1.spades.10_2_13	K03101
metabat1.spades.10_2_14	K03790
metabat1.spades.10_3_2	K06148
metabat1.spades.10_3_3	K06148
metabat1.spades.10_3_4	K06148
metabat1.spades.10_3_5	K06148
metabat1.spades.10_3_9	K00821
metabat1.spades.10_3_9	K09251

metabat1.spades.10_3_11	K00525
metabat1.spades.10_4_6	K06147
metabat1.spades.10_4_6	K11085

metabat1.spades.10_4_13	K09749
metabat1.spades.10_4_14	K01266
metabat1.spades.10_5_1	K11931
metabat1.spades.10_5_1	K21478

metabat1.spades.10_5_7	K03436
metabat1.spades.10_5_8	K00882
metabat1.spades.10_5_9	K02768
metabat1.spades.10_5_9	K02806

metabat1.spades.10_5_10	K02769
metabat1.spades.10_5_10	K02770

metabat1.spades.10_5_11	K02769
metabat1.spades.10_5_11	K02770

metabat1.spades.10_5_17	K13993
metabat1.spades.10_5_18	K07052
metabat1.spades.10_5_19	K01775
metabat1.spades.10_5_20	K07076
metabat1.spades.10_5_21	K01924
metabat1.spades.10_5_22	K09685
metabat1.spades.10_5_23	K06412
metabat1.spades.10_5_24	K04042
metabat1.spades.10_5_25	K00948
metabat1.spades.10_5_28	K04771
metabat1.spades.10_5_29	K01056
metabat1.spades.10_5_31	K03723
metabat1.spades.10_5_32	K03769
metabat1.spades.10_5_32	K07533

metabat1.spades.10_5_33	K04769
metabat1.spades.10_5_34	K06436
metabat1.spades.10_5_37	K00919
metabat1.spades.10_5_41	K06310
metabat1.spades.10_5_42	K06296
metabat1.spades.10_5_42	K06311

metabat1.spades.10_5_43	K06297
metabat1.spades.10_5_44	K06387
metabat1.spades.10_5_45	K01449
metabat1.spades.10_5_46	K06313
metabat1.spades.10_5_47	K06423
metabat1.spades.10_5_48	K00433
metabat1.spades.10_5_49	K01929
metabat1.spades.10_5_50	K01921
metabat1.spades.10_5_52	K01887
metabat1.spades.10_5_54	K01990
metabat1.spades.10_5_54	K09695

metabat1.spades.10_5_55	K01992
metabat1.spades.10_5_56	K01992
metabat1.spades.10_5_58	K02032
metabat1.spades.10_5_58	K10823

metabat1.spades.10_5_59	K02031
metabat1.spades.10_5_59	K15583

metabat1.spades.10_5_60	K02034
metabat1.spades.10_5_61	K02033
metabat1.spades.10_5_62	K02035
metabat1.spades.10_5_64	K07079
metabat1.spades.10_5_65	K00567
metabat1.spades.10_5_65	K13531

metabat1.spades.10_5_67	K02347
metabat1.spades.10_5_69	K06147
metabat1.spades.10_5_70	K06147
metabat1.spades.10_5_71	K16789
metabat1.spades.10_5_72	K19302
metabat1.spades.10_5_73	K01531
metabat1.spades.10_5_83	K05820
metabat1.spades.10_5_84	K00145
metabat1.spades.10_5_85	K00620
metabat1.spades.10_5_86	K00930
metabat1.spades.10_5_87	K00819
metabat1.spades.10_5_87	K00821

metabat1.spades.10_5_88	K01940
metabat1.spades.10_5_89	K01755
metabat1.spades.10_5_91	K07979
metabat1.spades.10_5_92	K01990
metabat1.spades.10_5_95	K01834
metabat1.spades.10_5_96	K03885
metabat1.spades.10_5_97	K00805
metabat1.spades.10_5_98	K00805
metabat1.spades.10_5_99	K00805
metabat1.spades.10_5_100	K03734
metabat1.spades.10_5_101	K02548
metabat1.spades.10_5_103	K09155
metabat1.spades.10_5_104	K01738
metabat1.spades.10_5_106	K08982
metabat1.spades.10_5_108	K02483
metabat1.spades.10_5_108	K18344

metabat1.spades.10_5_110	K08982
metabat1.spades.10_5_111	K03148
metabat1.spades.10_5_112	K21947
metabat1.spades.10_5_113	K03154
metabat1.spades.10_5_114	K21903
metabat1.spades.10_5_115	K01534
metabat1.spades.10_5_116	K07213
metabat1.spades.10_5_117	K04487
metabat1.spades.10_5_118	K00566
metabat1.spades.10_5_119	K17686
metabat1.spades.10_5_124	K03292
metabat1.spades.10_5_128	K02428
metabat1.spades.10_5_128	K02499

metabat1.spades.10_5_129	K03530
metabat1.spades.10_5_131	K06381
metabat1.spades.10_5_135	K15986
metabat1.spades.10_5_138	K07570
