	GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	PWY	Module	Module-Name	Module-Completeness	Metabolism	Metabolism-name	KO-name	EC	MAG	Condition
0	vamb.spades.1056_2_100	10.7199419699896	-4.50663558934469	1.05173948848163	-4.28493523225111	1.82792432076263e-05	0.0249328877352023	-		No Module	-	-					Tepidimicrobiaceae_sp._UNIPD23	AA
1	maxbin2.megahit.017_111_1	6.5563678981262	2.93674496838541	1.33305596501495	2.20301701163198	0.0275935496479684	0.245399444312415	K06382	noPWY	No Module	-	-	99980	Enzymes  with  EC  numbers\n	spoIIE; stage II sporulation protein E	3.1.3.16	Tepidanaerobacteraceae_sp._UNIPD3	AA
2	maxbin2.megahit.017_113_2	14.2536926244922	4.21597825114737	1.39129338810394	3.03025823826629	0.0024434472073609	0.0502942883515125	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
3	maxbin2.megahit.017_116_6	50.991515033523	-1.86310148318929	0.911604122199857	-2.04376158226809	0.0409771061654557	0.322083744945987	K13993		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
4	maxbin2.megahit.017_128_77	13.2279792581364	-2.65341679193296	0.811971092094427	-3.26787100891565	0.0010835973948238	0.0383503320859562	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD3	AA
5	maxbin2.megahit.017_137_29	6.28117625832938	2.78990952333576	1.48607514579817	1.87736773017445	0.0604677111319301	0.426729275702478	K02051	transporters	No Module	-	-			['ABC.SN.S;', 'NitT/TauT', 'family', 'transport', 'system', 'substrate-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
6	maxbin2.megahit.017_141_43	41.9198161386662	1.17371124846053	0.495097110433029	2.37066875109402	0.0177559363636918	0.175428651273275	K00864	lipid	No Module	-	-	561	Glycerolipid  metabolism	glpK GK; glycerol kinase	2.7.1.30	Tepidanaerobacteraceae_sp._UNIPD3	AA
7	maxbin2.megahit.017_141_49	8.07185952438561	2.19343062412317	0.914166317978018	2.39937807922596	0.0164229478934801	0.169019505403733	K05878	lipid	No Module	-	-	561	Glycerolipid  metabolism	dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK	2.7.1.121	Tepidanaerobacteraceae_sp._UNIPD3	AA
8	maxbin2.megahit.017_141_6	22.9846339883362	1.41594066420671	0.630342574065451	2.24630339511176	0.0246845812550027	0.234503521922526	K02035	transporters	No Module	-	-			['ABC.PE.S;', 'peptide/nickel', 'transport', 'system', 'substrate-binding', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
9	maxbin2.megahit.017_141_8	32.7998509089635	1.27726479951588	0.476696336698402	2.67940972310007	0.0073752087670989	0.113854785342089	K02034	transporters	No Module	-	-			['ABC.PE.P1;', 'peptide/nickel', 'transport', 'system', 'permease', 'protein\n']	-	Tepidanaerobacteraceae_sp._UNIPD3	AA
