concoct_megahit_6_1_1	K00598
concoct_megahit_6_1_3	K02081
concoct_megahit_6_1_3	K03436

concoct_megahit_6_2_2	K00764
concoct_megahit_6_2_3	K01952
concoct_megahit_6_2_4	K01952
concoct_megahit_6_2_5	K01952
concoct_megahit_6_2_6	K01756
concoct_megahit_6_2_6	K01923

concoct_megahit_6_3_1	K02529
concoct_megahit_6_3_2	K02529
concoct_megahit_6_3_3	K01880
concoct_megahit_6_4_1	K01883
concoct_megahit_6_4_2	K00640
concoct_megahit_6_4_3	K03642
concoct_megahit_6_4_4	K01770
concoct_megahit_6_4_4	K12506

concoct_megahit_6_5_2	K01685
concoct_megahit_6_5_3	K00041
concoct_megahit_6_5_4	K03337
concoct_megahit_6_6_2	K00239
concoct_megahit_6_6_6	K01687
concoct_megahit_6_6_8	K01995
concoct_megahit_6_7_1	K00575
concoct_megahit_6_7_1	K03408
concoct_megahit_6_7_1	K13924

concoct_megahit_6_7_2	K02490
concoct_megahit_6_7_3	K07710
concoct_megahit_6_7_4	K03628
concoct_megahit_6_7_8	K22278
concoct_megahit_6_7_9	K18672
concoct_megahit_6_7_11	K03431
concoct_megahit_6_7_12	K16788
concoct_megahit_6_7_13	K03183
concoct_megahit_6_7_14	K11261
concoct_megahit_6_8_1	K18979
concoct_megahit_6_9_2	K09740
concoct_megahit_6_9_3	K02028
concoct_megahit_6_9_4	K02029
concoct_megahit_6_9_5	K02030
concoct_megahit_6_9_6	K01940
concoct_megahit_6_9_7	K04771
concoct_megahit_6_9_8	K07138
concoct_megahit_6_10_3	K07636
concoct_megahit_6_10_3	K07652

concoct_megahit_6_10_4	K07658
concoct_megahit_6_10_4	K07667
concoct_megahit_6_10_4	K07668
concoct_megahit_6_10_4	K07776

concoct_megahit_6_10_7	K08221
concoct_megahit_6_10_7	K19578

concoct_megahit_6_10_8	K02049
concoct_megahit_6_10_9	K02050
concoct_megahit_6_10_10	K02051
concoct_megahit_6_11_2	K06176
concoct_megahit_6_11_3	K07149
concoct_megahit_6_12_1	K02881
concoct_megahit_6_12_2	K02988
concoct_megahit_6_12_3	K02876
concoct_megahit_6_12_4	K03076
concoct_megahit_6_12_5	K00939
concoct_megahit_6_12_6	K01265
concoct_megahit_6_12_8	K02518
concoct_megahit_6_12_9	K02919
concoct_megahit_6_12_10	K02952
concoct_megahit_6_12_11	K02948
concoct_megahit_6_12_12	K02986
concoct_megahit_6_12_13	K03040
concoct_megahit_6_12_14	K02879
concoct_megahit_6_12_15	K16784
concoct_megahit_6_12_15	K16786
concoct_megahit_6_12_15	K16787

concoct_megahit_6_12_16	K16786
concoct_megahit_6_12_16	K16787

concoct_megahit_6_14_1	K07646
concoct_megahit_6_14_4	K03499
concoct_megahit_6_14_5	K03498
concoct_megahit_6_15_1	K06158
concoct_megahit_6_15_2	K01409
concoct_megahit_6_15_4	K03789
concoct_megahit_6_15_5	K14742
concoct_megahit_6_15_6	K06925
concoct_megahit_6_15_8	K07010
concoct_megahit_6_15_10	K07171
concoct_megahit_6_15_11	K07723
concoct_megahit_6_15_12	K01775
concoct_megahit_6_15_13	K17758
concoct_megahit_6_15_13	K17759

concoct_megahit_6_15_14	K00997
concoct_megahit_6_15_15	K13993
concoct_megahit_6_15_16	K16789
concoct_megahit_6_16_1	K01868
concoct_megahit_6_16_2	K02520
concoct_megahit_6_16_3	K02916
concoct_megahit_6_16_4	K02887
concoct_megahit_6_16_5	K03498
concoct_megahit_6_16_6	K03499
concoct_megahit_6_16_7	K03437
concoct_megahit_6_16_8	K07720
