vamb.spades.298_1_1	K02035
vamb.spades.298_1_3	K11751
vamb.spades.298_2_1	K15987
vamb.spades.298_2_2	K03075
vamb.spades.298_2_3	K01689
vamb.spades.298_2_4	K15633
vamb.spades.298_2_5	K01803
vamb.spades.298_2_6	K00927
vamb.spades.298_2_6	K01803

vamb.spades.298_2_7	K00134
vamb.spades.298_2_8	K05311
vamb.spades.298_2_9	K03092
vamb.spades.298_2_11	K09762
vamb.spades.298_4_2	K03594
vamb.spades.298_5_2	K01448
vamb.spades.298_6_1	K01534
vamb.spades.298_6_2	K21903
vamb.spades.298_6_3	K15876
vamb.spades.298_7_2	K04486
vamb.spades.298_9_2	K07216
vamb.spades.298_10_1	K02017
vamb.spades.298_10_2	K02018
vamb.spades.298_10_3	K02020
vamb.spades.298_11_2	K06140
vamb.spades.298_11_3	K00573
vamb.spades.298_11_4	K03406
vamb.spades.298_11_5	K07301
vamb.spades.298_12_1	K03763
vamb.spades.298_12_2	K01251
vamb.spades.298_12_3	K03216
vamb.spades.298_12_4	K10543
vamb.spades.298_12_5	K02401
vamb.spades.298_12_5	K04061

vamb.spades.298_12_8	K07030
vamb.spades.298_13_1	K07478
vamb.spades.298_13_3	K04487
vamb.spades.298_13_4	K04488
vamb.spades.298_13_5	K00566
vamb.spades.298_14_4	K00174
vamb.spades.298_14_5	K00175
vamb.spades.298_14_6	K00177
vamb.spades.298_14_7	K01999
vamb.spades.298_15_2	K07080
vamb.spades.298_16_4	K07576
vamb.spades.298_17_1	K01990
vamb.spades.298_17_2	K07979
vamb.spades.298_18_1	K01998
vamb.spades.298_18_2	K01997
vamb.spades.298_18_3	K01999
vamb.spades.298_20_1	K01886
vamb.spades.298_20_2	K14645
vamb.spades.298_21_3	K01814
vamb.spades.298_21_5	K07240
vamb.spades.298_21_6	K07240
vamb.spades.298_21_7	K01781
vamb.spades.298_21_7	K20023

vamb.spades.298_21_9	K01945
vamb.spades.298_21_10	K00602
vamb.spades.298_21_11	K11175
vamb.spades.298_22_1	K17828
vamb.spades.298_22_2	K07038
vamb.spades.298_23_2	K02004
vamb.spades.298_23_3	K02004
vamb.spades.298_23_4	K02003
vamb.spades.298_24_1	K02939
vamb.spades.298_24_2	K02314
vamb.spades.298_24_3	K07137
vamb.spades.298_24_4	K01939
vamb.spades.298_24_5	K06864
vamb.spades.298_24_6	K06898
vamb.spades.298_24_7	K09121
vamb.spades.298_25_2	K08097
vamb.spades.298_25_6	K13993
vamb.spades.298_26_1	K03406
vamb.spades.298_26_2	K03406
vamb.spades.298_27_1	K02948
vamb.spades.298_27_2	K02986
vamb.spades.298_27_3	K03040
