99973 Transcription
K02466 gutM; glucitol operon activator protein
K03627 MBF1; putative transcription factor
K03622 ssh10b; archaea-specific DNA-binding protein
K03623 yhcO; ribonuclease inhibitor
K03704 cspA; cold shock protein
K07591 tdcR; threonine dehydratase operon activator protein
K04796 RUXX; small nuclear ribonucleoprotein
K11100 SNRPN, SMN; small nuclear ribonucleoprotein N
K07740 rsd; regulator of sigma D
K07741 antB; anti-repressor protein
K07802 trpL; trp operon leader peptide
K08278 thrL; thr operon leader peptide
K15833 hycA; formate hydrogenlyase regulatory protein HycA
K15834 hycH; formate hydrogenlyase maturation protein HycH
K02589 nifHD1, nifI1; nitrogen regulatory protein PII 1
K02590 nifHD2, nifI2; nitrogen regulatory protein PII 2
K04752 glnK; nitrogen regulatory protein P-II 2
K16335 TORC; CREB-regulated transcription coactivator
K16509 spxA; regulatory protein spx
K18666 ASCC1; activating signal cointegrator complex subunit 1
K18667 ASCC2; activating signal cointegrator complex subunit 2
K18774 PNRC1; proline-rich nuclear receptor coactivator 1
K19432 slrA; anti-repressor of SlrR
K19495 JAZF1; juxtaposed with another zinc finger protein 1
K19512 MAMLD1; mastermind-like domain-containing protein 1
K06959 tex; protein Tex
K21389 ADN1; adhesion defective protein 1
K21390 ADN2; adhesion defective protein 2
K21391 ADN3; adhesion defective protein 3
K21554 CREBRF, LRF; CREB3 regulatory factor
K21627 IFH1; protein IFH1
K21628 MSA1; G1-specific transcription factors activator MSA1
K21629 MSA2; G1-specific transcription factors activator MSA2
K21640 nrpRII; global nitrogen regulator NrpRII
K21753 PASD1; circadian clock protein PASD1
K22383 IRF2BP; interferon regulatory factor 2-binding protein
K22388 NAB; NGFI-A-binding protein
K22403 ZMIZ; zinc finger MIZ domain-containing protein
K22525 MKL; MKL/myocardin-like protein
K22526 MYOCD; myocardin
K22527 CITED1; Cbp/p300-interacting transactivator 1
K22528 CITED4; Cbp/p300-interacting transactivator 4
K22649 BCL9, BCL9L; B-cell CLL/lymphoma 9 protein
K07743 K07743; transcriptional regulator
K07744 K07744; transcriptional regulator
K07745 K07745; transcriptional regulator
K24380 CST10; cystatin-10
K24397 DAOA; D-amino acid oxidase activator
K09777 remA; extracellular matrix regulatory protein A
K24648 remB; extracellular matrix regulatory protein B
K24724 AES, TLE5; TLE family member 5 (amino-terminal enhancer of split)
K25826 CBFB; core-binding factor subunit beta
K26435 MTDH, AEG1; protein LYRIC
99975 Protein processing
K03668 hslJ; heat shock protein HslJ
K06891 clpS; ATP-dependent Clp protease adaptor protein ClpS
K19411 mcsA; protein arginine kinase activator
K03545 tig; trigger factor
K17247 msrQ; methionine sulfoxide reductase heme-binding subunit
K02380 fdhE; FdhE protein
K03187 ureE; urease accessory protein
K03188 ureF; urease accessory protein
K03189 ureG; urease accessory protein
K03190 ureD, ureH; urease accessory protein
K03192 ureJ; urease accessory protein
K03664 smpB; SsrA-binding protein
K04653 hypC; hydrogenase expression/formation protein HypC
K04654 hypD; hydrogenase expression/formation protein HypD
K04655 hypE; hydrogenase expression/formation protein HypE
K04656 hypF; hydrogenase maturation protein HypF
K07388 K07388; hydrogenase expression/formation protein
K06191 nrdH; glutaredoxin-like protein NrdH
K07391 comM; magnesium chelatase family protein
K07392 PRS2; AAA family ATPase
K07394 K07394; SM-20-related protein
K07395 K07395; putative proteasome-type protease
K07396 K07396; putative protein-disulfide isomerase
K07397 yhfA; putative redox protein
K07398 K07398; conserved protein with predicted RNA binding PUA domain
K07399 resB, ccs1; cytochrome c biogenesis protein
K07400 nfuA; Fe/S biogenesis protein NfuA
K07401 K07401; selenoprotein W-related protein
K07402 xdhC; xanthine dehydrogenase accessory factor
K07403 nfeD; membrane-bound serine protease (ClpP class)
K11208 yncG; GST-like protein
K15367 sseA; secretion system chaperone SseA
K18984 ssaE; secretion system chaperone SsaE
K15368 sscA; secretion system chaperone SscA
K16511 mecA1_2; adapter protein MecA 1/2
03015 mRNA surveillance pathway [PATH:ko03015]
K12882 NCBP1, CBP80; nuclear cap-binding protein subunit 1
K12883 NCBP2, CBP20; nuclear cap-binding protein subunit 2
K14328 UPF3, RENT3; regulator of nonsense transcripts 3
K12876 RBM8A, Y14; RNA-binding protein 8A
K12877 MAGOH; protein mago nashi
K14323 CASC3, MLN51; protein CASC3
K13025 EIF4A3, FAL1; ATP-dependent RNA helicase [EC:3.6.4.13]
K14324 SAP18; histone deacetylase complex subunit SAP18
K13114 PNN; pinin
K12875 ACIN1, ACINUS; apoptotic chromatin condensation inducer in the nucleus
K14325 RNPS1; RNA-binding protein with serine-rich domain 1
K12881 THOC4, ALY; THO complex subunit 4
K18655 DDX19, DBP5; ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13]
K18723 GLE1; nucleoporin GLE1
K14284 NXF, TAP, MEX67; nuclear RNA export factor
K14285 NXT1_2, P15; NTF2-related export protein 1/2
K14543 MTR2; mRNA transport regulator MTR2
K12812 DDX39B, UAP56, SUB2; ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]
K14294 WIBG, PYM; partner of Y14 and mago
K13171 SRRM1, SRM160; serine/arginine repetitive matrix protein 1
K13917 RNGTT; mRNA-capping enzyme [EC:2.7.7.50 3.6.1.74]
K00565 RNMT; mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
K13098 TLS, FUS; RNA-binding protein FUS
K23600 TARDBP, TDP43; TAR DNA-binding protein 43
K14396 PABPN1, PABP2; polyadenylate-binding protein 2
K14397 NUDT21, CPSF5, CFIM25; cleavage and polyadenylation specificity factor subunit 5
K14398 CPSF6_7; cleavage and polyadenylation specificity factor subunit 6/7
K14376 PAP; poly(A) polymerase [EC:2.7.7.19]
K14399 CLP1, HERB; polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]
K14400 PCF11; pre-mRNA cleavage complex 2 protein Pcf11
K14401 CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1
K14402 CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2
K14403 CPSF3, YSH1; cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-]
K14404 CPSF4, YTH1; cleavage and polyadenylation specificity factor subunit 4
K14405 FIP1L1, FIP1; pre-mRNA 3'-end-processing factor FIP1
K15541 MPE1; protein MPE1
K15542 PFS2; polyadenylation factor subunit 2
K14962 WDR82, SWD2, CPS35; COMPASS component SWD2
K15543 REF2; RNA end formation protein 2
K06269 PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]
K15544 SSU72; RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16]
K14406 CSTF1; cleavage stimulation factor subunit 1
K14407 CSTF2, RNA15; cleavage stimulation factor subunit 2
K14408 CSTF3, RNA14; cleavage stimulation factor subunit 3
K06100 SYMPK; symplekin
K12595 SKI7; superkiller protein 7
K14411 MSI; RNA-binding protein Musashi
K13126 PABPC; polyadenylate-binding protein
K03265 ETF1, ERF1; peptide chain release factor subunit 1
K03267 ERF3, GSPT; peptide chain release factor subunit 3
K14326 UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.13 5.6.2.3]
K14327 UPF2, RENT2; regulator of nonsense transcripts 2
K08873 SMG1; serine/threonine-protein kinase SMG1 [EC:2.7.11.1]
K14409 SMG7, EST1C; protein SMG7
K11125 SMG5, EST1B; protein SMG5
K11124 SMG6, EST1A; protein SMG6 [EC:3.1.-.-]
K04382 PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
K03456 PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A
K04354 PPP2R2; serine/threonine-protein phosphatase 2A regulatory subunit B
K11583 PPP2R3; serine/threonine-protein phosphatase 2A regulatory subunit B''
K11584 PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'
K14416 HBS1; elongation factor 1 alpha-like protein
K06965 PELO, DOM34, pelA; protein pelota
03010 Ribosome [PATH:ko03010]
K02945 RP-S1, rpsA; small subunit ribosomal protein S1
K02967 RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2
K02982 RP-S3, rpsC; small subunit ribosomal protein S3
K02986 RP-S4, rpsD; small subunit ribosomal protein S4
K02988 RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5
K02990 RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6
K02992 RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7
K02994 RP-S8, rpsH; small subunit ribosomal protein S8
K02996 RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9
K02946 RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10
K02948 RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11
K02950 RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12
