GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO	PWY	Module	Module-Name	Module-Completeness	Metabolism	Metabolism-name	KO-name	EC	MAG	Condition
metabat2.megahit.33_57_2	4.820127708	-5.937433956	3.916232443	-1.52	0.129	0.3915865459	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
vamb.spades.857_87_49	4.915138209	-5.787284929	1.672909473	-3.45941309	0.0005413539511	0.4716613352	K00627	,cofactors_and_vitamins,carbohydrate,carbohydrate,carbohydrate	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	100	,785,10,20,620	,Lipoic  acid  metabolism  ,Glycolysis  /  Gluconeogenesis  ,Citrate  cycle  (TCA  cycle)  ,Pyruvate  metabolism	DLAT aceF pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase)	2.3.1.12	Tepidanaerobacteraceae_sp._UNIPD32	AA
metabat2.megahit.33_2_1	4.329166144	-5.724861779	1.639662454	-3.49	0.00048	0.009301930995	K13993		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.25_31_5	11.54038009	-5.659765419	1.739214122	-3.25	0.00114	0.02945057437	K01725	energy	No Module	-	-	910	Nitrogen  metabolism	cynS; cyanate lyase	4.2.1.104	Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.25_2_197	15.70125256	-5.556312177	1.53190665	-3.63	0.000287	0.01142271425	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
maxbin2.spades.006_6_131	10.31723655	-5.518232736	1.43740421	-3.84	0.000124	0.02957618252	K04758	transporters	No Module	-	-			['feoA;', 'ferrous', 'iron', 'transport', 'protein', 'A\n']	-	Moorellia_sp._UNIPD5	AA
vamb.spades.222_5_115	8.471628605	-5.464881387	1.437512335	-3.8	0.000144	0.008289627543	-		No Module	-	-					Tepidimicrobiaceae_sp._UNIPD26	AA
metabat2.megahit.33_55_3	9.346926931	-5.256364343	1.20828204	-4.35	1.36e-05	0.0004776701142	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
vamb.spades.857_87_39	8.186863279	-5.253409102	1.591342662	-3.3	0.000963	0.4716613352	-		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD32	AA
maxbin2.spades.006_6_130	9.209434889	-5.237123818	1.602071609	-3.27	0.00108	0.08893468101	K04759	transporters	No Module	-	-			['feoB;', 'ferrous', 'iron', 'transport', 'protein', 'B\n']	-	Moorellia_sp._UNIPD5	AA
metabat2.megahit.33_4_1	34.68109561	-5.208609247	1.438660608	-3.62	0.000294	0.006233813418	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.15_9_68	156.2279431	-5.094792696	0.6190500384	-8.23	1.87e-16	5.24e-14	K01035	,aminoacids,carbohydrate	No Module	-	-	310,650	,Lysine  degradation  ,Butanoate  metabolism	atoA; acetate CoA/acetoacetate CoA-transferase beta subunit	2.8.3.8,2.8.3.8	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_9_71	17.80910821	-5.094754201	0.9359067611	-5.44	5.22e-08	2.81e-06	K18014	aminoacids	No Module	-	-	310	Lysine  degradation	kal; 3-aminobutyryl-CoA ammonia-lyase	4.3.1.14	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_9_70	94.2281489	-5.081925349	0.6393830384	-7.948170414	1.89e-15	3.57e-13	K18013	aminoacids	No Module	-	-	310	Lysine  degradation	kce; 3-keto-5-aminohexanoate cleavage enzyme	2.3.1.247	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.megahit.33_55_4	2.466408463	-4.989047353	1.592361296	-3.13	0.001729630333	0.02453151754	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
metabat2.spades.15_2_108	14.7851416	-4.926363907	1.840179305	-2.68	0.00743	0.03617875024	K05879	lipid	No Module	-	-	561	Glycerolipid  metabolism	dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL	2.7.1.121	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.15_9_66	756.8671152	-4.911012646	0.5661588713	-8.67	4.16e-18	1.88e-15	K01843	aminoacids	No Module	-	-	310	Lysine  degradation	kamA; lysine 23-aminomutase	5.4.3.2	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.megahit.33_4_2	14.60546998	-4.88525228	1.267355821	-3.85	0.0001158806713	0.003023214634	-		No Module	-	-					Tissierellaceae_sp._UNIPD12	AA
vamb.spades.267_73_34	3.270284627	-4.734140144	1.614187638	-2.93	0.00336	0.04728779629	K06173		No Module	-	-					Tepidanaerobacteraceae_sp._UNIPD27	AA
metabat2.spades.15_9_74	6160.0623	-4.629789143	0.6003838844	-7.71	1.24e-14	1.88e-12	K03315	transporters	No Module	-	-			['nhaC;', 'Na+:H+', 'antiporter,', 'NhaC', 'family\n']	-	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_9_108	8.513630872	-4.621848002	1.378438071	-3.35	0.0007995219991	0.02277696474	K00184,K07307	,energy,transporters,transporters	No Module	-	-	-	,Sulfur  metabolism  ,-,-	['dmsB;', 'dimethyl', 'sulfoxide', 'reductase', 'iron-sulfur', 'subunit\n']	-	Symbiobacterium_sp._UNIPD15	AA
metabat2.spades.15_9_63	639.9402674	-4.61590838	0.5665317465	-8.15	3.71e-16	8.4e-14	K01844	,aminoacids,aminoacids	No Module	-	-	310,470	,Lysine  degradation  ,D-Amino  acid  metabolism	kamD; beta-lysine 56-aminomutase alpha subunit	5.4.3.3	Caldanaerobacter_subterraneus_UNIPD13	AA
metabat2.spades.25_3_154	42.69611541	-4.585004488	0.5838656179	-7.85	4.07e-15	4.21e-12	-		No Module	-	-					Symbiobacterium_sp._UNIPD15	AA
vamb.spades.1056_2_100	10.71994197	-4.506635589	1.051739488	-4.28	1.83e-05	0.02493288774	-		No Module	-	-					Tepidimicrobiaceae_sp._UNIPD23	AA
maxbin2.spades.006_11_19	18.65385471	-4.499683849	1.354228249	-3.32	0.0008915318023	0.07617643955	K04759	transporters	No Module	-	-			['feoB;', 'ferrous', 'iron', 'transport', 'protein', 'B\n']	-	Moorellia_sp._UNIPD5	AA
maxbin2.spades.006_7_81	6.087182828	-4.496604827	1.591779426	-2.82	0.004729656795	0.2797773904	K03609		No Module	-	-					Moorellia_sp._UNIPD5	AA
metabat2.spades.15_9_67	131.2124474	-4.454797403	0.5813065037	-7.663422609	1.81e-14	2.56e-12	K18012	aminoacids	No Module	-	-	310	Lysine  degradation	kdd; L-erythro-35-diaminohexanoate dehydrogenase	1.4.1.11	Caldanaerobacter_subterraneus_UNIPD13	AA
